metric,district,school,year,behavior,count,rate,share,enrollment,status_flag
discipline_incidents,Brown Deer,Brown Deer Middle/High,2019-20,Assault,5.0,0.59,0.0625,852.0,
discipline_incidents,Brown Deer,Brown Deer Middle/High,2019-20,Drugs and Alcohol,7.0,0.82,0.0875,852.0,
discipline_incidents,Brown Deer,Brown Deer Middle/High,2019-20,Endangering Behavior,35.0,4.11,0.4375,852.0,
discipline_incidents,Brown Deer,Brown Deer Middle/High,2019-20,Weapon Related,4.0,0.47,0.05,852.0,
discipline_incidents,Brown Deer,Brown Deer Middle/High,2019-20,Other Violation of School Rules,29.0,3.4,0.3625,852.0,
discipline_incidents,Brown Deer,Brown Deer Middle/High,2020-21,All incidents,0.0,0.0,,840.0,
discipline_incidents,Brown Deer,Brown Deer Middle/High,2020-21,Assault,0.0,0.0,,840.0,None reported
discipline_incidents,Brown Deer,Brown Deer Middle/High,2020-21,Drugs and Alcohol,0.0,0.0,,840.0,None reported
discipline_incidents,Brown Deer,Brown Deer Middle/High,2020-21,Endangering Behavior,0.0,0.0,,840.0,None reported
discipline_incidents,Brown Deer,Brown Deer Middle/High,2020-21,Weapon Related,0.0,0.0,,840.0,None reported
discipline_incidents,Brown Deer,Brown Deer Middle/High,2020-21,Other Violation of School Rules,0.0,0.0,,840.0,None reported
discipline_incidents,Brown Deer,Brown Deer Middle/High,2021-22,All incidents,24.0,2.65,,905.0,
discipline_incidents,Brown Deer,Brown Deer Middle/High,2021-22,Assault,0.0,0.0,0.0,905.0,None reported
discipline_incidents,Brown Deer,Brown Deer Middle/High,2021-22,Drugs and Alcohol,0.0,0.0,0.0,905.0,None reported
discipline_incidents,Brown Deer,Brown Deer Middle/High,2021-22,Endangering Behavior,21.0,2.32,0.875,905.0,
discipline_incidents,Brown Deer,Brown Deer Middle/High,2021-22,Weapon Related,0.0,0.0,0.0,905.0,None reported
discipline_incidents,Brown Deer,Brown Deer Middle/High,2021-22,Other Violation of School Rules,3.0,0.33,0.125,905.0,
discipline_incidents,Brown Deer,Brown Deer Middle/High,2022-23,All incidents,17.0,1.8,,944.0,
discipline_incidents,Brown Deer,Brown Deer Middle/High,2022-23,Assault,0.0,0.0,0.0,944.0,None reported
