metric,district,school,group,year,value,yoy_change,pct_change,status_flag,enrollment
chronic_absenteeism,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2018-19,13.3,,,,728.0
chronic_absenteeism,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2019-20,12.0,-1.3,-9.8,,599.0
chronic_absenteeism,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2020-21,9.2,-2.8,-23.3,,574.0
chronic_absenteeism,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2021-22,41.9,32.7,355.4,,627.0
chronic_absenteeism,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2022-23,23.6,-18.3,-43.7,,635.0
chronic_absenteeism,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2023-24,20.1,-3.5,-14.8,,627.0
chronic_absenteeism,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2024-25,22.3,2.2,10.9,,640.0
chronic_absenteeism,Brown Deer,Brown Deer Middle/High,Brown Deer Middle/High — All Students,2018-19,31.7,,,,716.0
chronic_absenteeism,Brown Deer,Brown Deer Middle/High,Brown Deer Middle/High — All Students,2019-20,24.3,-7.4,-23.3,,838.0
chronic_absenteeism,Brown Deer,Brown Deer Middle/High,Brown Deer Middle/High — All Students,2020-21,28.8,4.5,18.5,,847.0
chronic_absenteeism,Brown Deer,Brown Deer Middle/High,Brown Deer Middle/High — All Students,2021-22,53.4,24.6,85.4,,901.0
chronic_absenteeism,Brown Deer,Brown Deer Middle/High,Brown Deer Middle/High — All Students,2022-23,43.9,-9.5,-17.8,,907.0
chronic_absenteeism,Brown Deer,Brown Deer Middle/High,Brown Deer Middle/High — All Students,2023-24,40.6,-3.3,-7.5,,913.0
chronic_absenteeism,Brown Deer,Brown Deer Middle/High,Brown Deer Middle/High — All Students,2024-25,36.5,-4.1,-10.1,,905.0
chronic_absenteeism,Bruce Guadalupe,Bruce Guadalupe,Bruce Guadalupe — All Students,2018-19,6.1,,,,1160.0
chronic_absenteeism,Bruce Guadalupe,Bruce Guadalupe,Bruce Guadalupe — All Students,2019-20,5.7,-0.4,-6.6,,1224.0
chronic_absenteeism,Bruce Guadalupe,Bruce Guadalupe,Bruce Guadalupe — All Students,2020-21,17.0,11.3,198.2,,1212.0
chronic_absenteeism,Bruce Guadalupe,Bruce Guadalupe,Bruce Guadalupe — All Students,2021-22,41.6,24.6,144.7,,1241.0
chronic_absenteeism,Capitol West Academy,Capitol West Academy,Capitol West Academy — All Students,2018-19,36.2,,,,246.0
chronic_absenteeism,Capitol West Academy,Capitol West Academy,Capitol West Academy — All Students,2019-20,31.3,-4.9,-13.5,,208.0
chronic_absenteeism,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2022-23,45.8,,,,177.0
chronic_absenteeism,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2023-24,49.0,3.2,7.0,,206.0
chronic_absenteeism,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2024-25,40.6,-8.4,-17.1,,192.0
chronic_absenteeism,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2022-23,46.0,,,,211.0
chronic_absenteeism,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2023-24,33.9,-12.1,-26.3,,180.0
chronic_absenteeism,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2024-25,36.8,2.9,8.6,,174.0
chronic_absenteeism,Carmen Middle School South,Carmen Middle School South,Carmen Middle School South — All Students,2021-22,25.7,,,,179.0
chronic_absenteeism,Central City Cyberschool of Milwaukee,Central City Cyberschool,Central City Cyberschool — All Students,2018-19,23.3,,,,387.0
chronic_absenteeism,Central City Cyberschool of Milwaukee,Central City Cyberschool,Central City Cyberschool — All Students,2019-20,27.2,3.9,16.7,,430.0
chronic_absenteeism,Central City Cyberschool of Milwaukee,Central City Cyberschool,Central City Cyberschool — All Students,2020-21,47.5,20.3,74.6,,396.0
chronic_absenteeism,Central City Cyberschool of Milwaukee,Central City Cyberschool,Central City Cyberschool — All Students,2021-22,59.8,12.3,25.9,,376.0
chronic_absenteeism,Central City Cyberschool of Milwaukee,Central City Cyberschool,Central City Cyberschool — All Students,2022-23,55.5,-4.3,-7.2,,373.0
chronic_absenteeism,Central City Cyberschool of Milwaukee,Central City Cyberschool,Central City Cyberschool — All Students,2023-24,45.8,-9.7,-17.5,,347.0
chronic_absenteeism,Central City Cyberschool of Milwaukee,Central City Cyberschool,Central City Cyberschool — All Students,2024-25,34.0,-11.8,-25.8,,306.0
chronic_absenteeism,Cudahy,Cudahy High,Cudahy High — All Students,2018-19,26.7,,,,735.0
chronic_absenteeism,Cudahy,Cudahy High,Cudahy High — All Students,2019-20,27.9,1.2,4.5,,705.0
chronic_absenteeism,Cudahy,Cudahy High,Cudahy High — All Students,2020-21,36.1,8.2,29.4,,675.0
chronic_absenteeism,Cudahy,Cudahy High,Cudahy High — All Students,2021-22,32.4,-3.7,-10.2,,638.0
chronic_absenteeism,Cudahy,Cudahy High,Cudahy High — All Students,2022-23,31.9,-0.5,-1.5,,667.0
chronic_absenteeism,Cudahy,Cudahy High,Cudahy High — All Students,2023-24,35.5,3.6,11.3,,645.0
chronic_absenteeism,Cudahy,Cudahy High,Cudahy High — All Students,2024-25,33.1,-2.4,-6.8,,629.0
chronic_absenteeism,Cudahy,Cudahy Middle,Cudahy Middle — All Students,2018-19,21.2,,,,518.0
chronic_absenteeism,Cudahy,Cudahy Middle,Cudahy Middle — All Students,2019-20,23.4,2.2,10.4,,526.0
chronic_absenteeism,Cudahy,Cudahy Middle,Cudahy Middle — All Students,2020-21,28.6,5.2,22.2,,493.0
chronic_absenteeism,Cudahy,Cudahy Middle,Cudahy Middle — All Students,2021-22,26.2,-2.4,-8.4,,481.0
chronic_absenteeism,Cudahy,Cudahy Middle,Cudahy Middle — All Students,2022-23,23.2,-3.0,-11.5,,418.0
chronic_absenteeism,Cudahy,Cudahy Middle,Cudahy Middle — All Students,2023-24,34.9,11.7,50.4,,249.0
chronic_absenteeism,Cudahy,Cudahy Middle,Cudahy Middle — All Students,2024-25,37.3,2.4,6.9,,244.0
chronic_absenteeism,Cudahy,Jones Elementary,Jones Elementary — All Students,2018-19,12.2,,,,98.0
chronic_absenteeism,Cudahy,Jones Elementary,Jones Elementary — All Students,2019-20,19.8,7.6,62.3,,111.0
chronic_absenteeism,Cudahy,Jones Elementary,Jones Elementary — All Students,2020-21,9.9,-9.9,-50.0,,111.0
chronic_absenteeism,Cudahy,Jones Elementary,Jones Elementary — All Students,2021-22,25.0,15.1,152.5,,136.0
chronic_absenteeism,Cudahy,Jones Elementary,Jones Elementary — All Students,2022-23,13.7,-11.3,-45.2,,131.0
chronic_absenteeism,Cudahy,Jones Elementary,Jones Elementary — All Students,2023-24,20.6,6.9,50.4,,155.0
chronic_absenteeism,Cudahy,Jones Elementary,Jones Elementary — All Students,2024-25,14.5,-6.1,-29.6,,145.0
chronic_absenteeism,Cudahy,Kosciuszko Elementary,Kosciuszko Elementary — All Students,2018-19,20.7,,,,222.0
chronic_absenteeism,Cudahy,Kosciuszko Elementary,Kosciuszko Elementary — All Students,2019-20,26.2,5.5,26.6,,183.0
chronic_absenteeism,Cudahy,Kosciuszko Elementary,Kosciuszko Elementary — All Students,2020-21,22.3,-3.9,-14.9,,193.0
chronic_absenteeism,Cudahy,Kosciuszko Elementary,Kosciuszko Elementary — All Students,2021-22,28.0,5.7,25.6,,175.0
chronic_absenteeism,Cudahy,Kosciuszko Elementary,Kosciuszko Elementary — All Students,2022-23,41.7,13.7,48.9,,175.0
chronic_absenteeism,Cudahy,Kosciuszko Elementary,Kosciuszko Elementary — All Students,2023-24,29.8,-11.9,-28.5,,205.0
chronic_absenteeism,Cudahy,Kosciuszko Elementary,Kosciuszko Elementary — All Students,2024-25,34.8,5.0,16.8,,184.0
chronic_absenteeism,Cudahy,Lincoln Elementary,Lincoln Elementary — All Students,2018-19,20.6,,,,214.0
chronic_absenteeism,Cudahy,Lincoln Elementary,Lincoln Elementary — All Students,2019-20,20.9,0.3,1.5,,211.0
chronic_absenteeism,Cudahy,Lincoln Elementary,Lincoln Elementary — All Students,2020-21,22.1,1.2,5.7,,199.0
chronic_absenteeism,Cudahy,Lincoln Elementary,Lincoln Elementary — All Students,2021-22,50.9,28.8,130.3,,232.0
chronic_absenteeism,Cudahy,Lincoln Elementary,Lincoln Elementary — All Students,2022-23,38.0,-12.9,-25.3,,216.0
chronic_absenteeism,Cudahy,Lincoln Elementary,Lincoln Elementary — All Students,2023-24,34.2,-3.8,-10.0,,257.0
chronic_absenteeism,Cudahy,Lincoln Elementary,Lincoln Elementary — All Students,2024-25,35.6,1.4,4.1,,270.0
chronic_absenteeism,Cudahy,Mitchell Elementary,Mitchell Elementary — All Students,2018-19,20.5,,,,200.0
chronic_absenteeism,Cudahy,Mitchell Elementary,Mitchell Elementary — All Students,2019-20,20.0,-0.5,-2.4,,185.0
chronic_absenteeism,Cudahy,Mitchell Elementary,Mitchell Elementary — All Students,2020-21,16.1,-3.9,-19.5,,186.0
chronic_absenteeism,Cudahy,Mitchell Elementary,Mitchell Elementary — All Students,2021-22,30.3,14.2,88.2,,211.0
chronic_absenteeism,Cudahy,Mitchell Elementary,Mitchell Elementary — All Students,2022-23,27.6,-2.7,-8.9,,341.0
chronic_absenteeism,Cudahy,Mitchell Elementary,Mitchell Elementary — All Students,2023-24,21.2,-6.4,-23.2,,349.0
chronic_absenteeism,Cudahy,Mitchell Elementary,Mitchell Elementary — All Students,2024-25,22.1,0.9,4.2,,317.0
chronic_absenteeism,Cudahy,Park View Elementary,Park View Elementary — All Students,2018-19,16.7,,,,216.0
chronic_absenteeism,Cudahy,Park View Elementary,Park View Elementary — All Students,2019-20,17.1,0.4,2.4,,175.0
chronic_absenteeism,Cudahy,Park View Elementary,Park View Elementary — All Students,2020-21,32.3,15.2,88.9,,164.0
chronic_absenteeism,Cudahy,Park View Elementary,Park View Elementary — All Students,2021-22,43.8,11.5,35.6,,128.0
chronic_absenteeism,Darrell L. Hines Academy,Darrell Lynn Hines Academy,Darrell Lynn Hines Academy — All Students,2018-19,22.2,,,,234.0
chronic_absenteeism,Darrell L. Hines Academy,Darrell Lynn Hines Academy,Darrell Lynn Hines Academy — All Students,2019-20,22.3,0.1,0.5,,215.0
chronic_absenteeism,Darrell L. Hines Academy,Darrell Lynn Hines Academy,Darrell Lynn Hines Academy — All Students,2020-21,36.8,14.5,65.0,,212.0
chronic_absenteeism,Darrell L. Hines Academy,Darrell Lynn Hines Academy,Darrell Lynn Hines Academy — All Students,2021-22,48.8,12.0,32.6,,166.0
chronic_absenteeism,Darrell L. Hines Academy,Darrell Lynn Hines Academy,Darrell Lynn Hines Academy — All Students,2022-23,38.6,-10.2,-20.9,,158.0
chronic_absenteeism,Darrell L. Hines Academy,Darrell Lynn Hines Academy,Darrell Lynn Hines Academy — All Students,2023-24,40.2,1.6,4.1,,169.0
chronic_absenteeism,Darrell L. Hines Academy,Darrell Lynn Hines Academy,Darrell Lynn Hines Academy — All Students,2024-25,35.8,-4.4,-10.9,,159.0
chronic_absenteeism,Downtown Montessori Academy,Downtown Montessori,Downtown Montessori — All Students,2018-19,0.0,,,,232.0
chronic_absenteeism,Downtown Montessori Academy,Downtown Montessori,Downtown Montessori — All Students,2019-20,2.4,2.4,,,255.0
chronic_absenteeism,Downtown Montessori Academy,Downtown Montessori,Downtown Montessori — All Students,2020-21,1.6,-0.8,-33.3,,243.0
chronic_absenteeism,Downtown Montessori Academy,Downtown Montessori,Downtown Montessori — All Students,2021-22,18.3,16.7,1043.8,,202.0
chronic_absenteeism,Downtown Montessori Academy,Downtown Montessori,Downtown Montessori — All Students,2022-23,17.6,-0.7,-3.8,,204.0
chronic_absenteeism,Downtown Montessori Academy,Downtown Montessori,Downtown Montessori — All Students,2023-24,9.8,-7.8,-44.3,,193.0
chronic_absenteeism,Downtown Montessori Academy,Downtown Montessori,Downtown Montessori — All Students,2024-25,8.2,-1.6,-16.3,,184.0
chronic_absenteeism,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy — All Students,2019-20,27.2,,,,287.0
chronic_absenteeism,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy — All Students,2020-21,16.5,-10.7,-39.3,,310.0
chronic_absenteeism,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy — All Students,2021-22,3.5,-13.0,-78.8,,318.0
chronic_absenteeism,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy — All Students,2022-23,61.1,57.6,1645.7,,298.0
chronic_absenteeism,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy — All Students,2023-24,60.7,-0.4,-0.7,,270.0
chronic_absenteeism,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy — All Students,2024-25,53.7,-7.0,-11.5,,557.0
chronic_absenteeism,Escuela Verde,Escuela Verde,Escuela Verde — All Students,2018-19,35.1,,,,114.0
chronic_absenteeism,Escuela Verde,Escuela Verde,Escuela Verde — All Students,2019-20,36.0,0.9,2.6,,114.0
chronic_absenteeism,Escuela Verde,Escuela Verde,Escuela Verde — All Students,2020-21,11.7,-24.3,-67.5,,120.0
chronic_absenteeism,Escuela Verde,Escuela Verde,Escuela Verde — All Students,2021-22,35.3,23.6,201.7,,119.0
chronic_absenteeism,Fox Point J2,Bayside Middle,Bayside Middle — All Students,2018-19,6.0,,,,350.0
chronic_absenteeism,Fox Point J2,Bayside Middle,Bayside Middle — All Students,2019-20,6.5,0.5,8.3,,356.0
chronic_absenteeism,Fox Point J2,Bayside Middle,Bayside Middle — All Students,2020-21,1.4,-5.1,-78.5,,369.0
chronic_absenteeism,Fox Point J2,Bayside Middle,Bayside Middle — All Students,2021-22,3.6,2.2,157.1,,364.0
