metric,district,school,group,year,value,yoy_change,pct_change,status_flag
enrollment,Wauwatosa,Roosevelt Elementary,Roosevelt Elementary — All Students,2022-23,414,-2.0,-0.48076923076922906,
enrollment,Wauwatosa,Roosevelt Elementary,Roosevelt Elementary — All Students,2023-24,406,-8.0,-1.9323671497584516,
enrollment,Wauwatosa,Roosevelt Elementary,Roosevelt Elementary — All Students,2024-25,396,-10.0,-2.463054187192115,
enrollment,Wauwatosa,Underwood Elementary,Underwood Elementary — All Students,2018-19,386,,,
enrollment,Wauwatosa,Underwood Elementary,Underwood Elementary — All Students,2019-20,383,-3.0,-0.7772020725388629,
enrollment,Wauwatosa,Underwood Elementary,Underwood Elementary — All Students,2020-21,363,-20.0,-5.22193211488251,
enrollment,Wauwatosa,Underwood Elementary,Underwood Elementary — All Students,2021-22,375,12.0,3.305785123966931,
enrollment,Wauwatosa,Underwood Elementary,Underwood Elementary — All Students,2022-23,336,-39.0,-10.399999999999999,
enrollment,Wauwatosa,Underwood Elementary,Underwood Elementary — All Students,2023-24,335,-1.0,-0.29761904761904656,
enrollment,Wauwatosa,Underwood Elementary,Underwood Elementary — All Students,2024-25,315,-20.0,-5.970149253731338,
enrollment,Wauwatosa,Vel R Phillips School,Vel R Phillips School — All Students,2018-19,44,,,
enrollment,Wauwatosa,Vel R Phillips School,Vel R Phillips School — All Students,2019-20,42,-2.0,-4.545454545454541,
enrollment,Wauwatosa,Vel R Phillips School,Vel R Phillips School — All Students,2020-21,49,7.0,16.666666666666675,
enrollment,Wauwatosa,Vel R Phillips School,Vel R Phillips School — All Students,2021-22,99,50.0,102.04081632653059,
enrollment,Wauwatosa,Vel R Phillips School,Vel R Phillips School — All Students,2022-23,106,7.0,7.070707070707072,
enrollment,Wauwatosa,Vel R Phillips School,Vel R Phillips School — All Students,2023-24,119,13.0,12.264150943396235,
enrollment,Wauwatosa,Vel R Phillips School,Vel R Phillips School — All Students,2024-25,139,20.0,16.806722689075638,
enrollment,Wauwatosa,Washington Elementary,Washington Elementary — All Students,2018-19,324,,,
enrollment,Wauwatosa,Washington Elementary,Washington Elementary — All Students,2019-20,308,-16.0,-4.938271604938271,
enrollment,Wauwatosa,Washington Elementary,Washington Elementary — All Students,2020-21,284,-24.0,-7.792207792207795,
enrollment,Wauwatosa,Washington Elementary,Washington Elementary — All Students,2021-22,298,14.0,4.929577464788726,
enrollment,Wauwatosa,Washington Elementary,Washington Elementary — All Students,2022-23,288,-10.0,-3.3557046979865723,
enrollment,Wauwatosa,Washington Elementary,Washington Elementary — All Students,2023-24,289,1.0,0.3472222222222321,
enrollment,Wauwatosa,Washington Elementary,Washington Elementary — All Students,2024-25,285,-4.0,-1.384083044982698,
enrollment,Wauwatosa,Wauwatosa Montessori School,Wauwatosa Montessori School — All Students,2018-19,183,,,
enrollment,Wauwatosa,Wauwatosa Montessori School,Wauwatosa Montessori School — All Students,2019-20,185,2.0,1.0928961748633892,
enrollment,Wauwatosa,Wauwatosa Montessori School,Wauwatosa Montessori School — All Students,2020-21,175,-10.0,-5.405405405405405,
enrollment,Wauwatosa,Wauwatosa Montessori School,Wauwatosa Montessori School — All Students,2021-22,173,-2.0,-1.1428571428571455,
enrollment,Wauwatosa,Wauwatosa Montessori School,Wauwatosa Montessori School — All Students,2022-23,180,7.0,4.046242774566466,
enrollment,Wauwatosa,Wauwatosa Montessori School,Wauwatosa Montessori School — All Students,2023-24,178,-2.0,-1.1111111111111072,
enrollment,Wauwatosa,Wauwatosa Montessori School,Wauwatosa Montessori School — All Students,2024-25,176,-2.0,-1.1235955056179803,
enrollment,Wauwatosa,Wauwatosa STEM,Wauwatosa STEM — All Students,2018-19,133,,,
enrollment,Wauwatosa,Wauwatosa STEM,Wauwatosa STEM — All Students,2019-20,140,7.0,5.263157894736836,
enrollment,Wauwatosa,Wauwatosa STEM,Wauwatosa STEM — All Students,2020-21,132,-8.0,-5.714285714285716,
enrollment,Wauwatosa,Wauwatosa STEM,Wauwatosa STEM — All Students,2021-22,135,3.0,2.2727272727272707,
enrollment,Wauwatosa,Wauwatosa STEM,Wauwatosa STEM — All Students,2022-23,131,-4.0,-2.9629629629629672,
enrollment,Wauwatosa,Wauwatosa STEM,Wauwatosa STEM — All Students,2023-24,131,0.0,0.0,
enrollment,Wauwatosa,Wauwatosa STEM,Wauwatosa STEM — All Students,2024-25,127,-4.0,-3.053435114503822,
enrollment,Wauwatosa,Wauwatosa Virtual Academy,Wauwatosa Virtual Academy — All Students,2018-19,160,,,
enrollment,Wauwatosa,Wauwatosa Virtual Academy,Wauwatosa Virtual Academy — All Students,2019-20,141,-19.0,-11.875000000000002,
enrollment,Wauwatosa,Wauwatosa Virtual Academy,Wauwatosa Virtual Academy — All Students,2020-21,159,18.0,12.765957446808507,
enrollment,Wauwatosa,Wauwatosa Virtual Academy,Wauwatosa Virtual Academy — All Students,2021-22,183,24.0,15.094339622641506,
enrollment,Wauwatosa,Wauwatosa Virtual Academy,Wauwatosa Virtual Academy — All Students,2022-23,168,-15.0,-8.196721311475407,
enrollment,Wauwatosa,Wauwatosa Virtual Academy,Wauwatosa Virtual Academy — All Students,2023-24,115,-53.0,-31.547619047619047,
enrollment,Wauwatosa,Wauwatosa Virtual Academy,Wauwatosa Virtual Academy — All Students,2024-25,91,-24.0,-20.869565217391305,
enrollment,Wauwatosa,West High,West High — All Students,2018-19,1087,,,
enrollment,Wauwatosa,West High,West High — All Students,2019-20,1084,-3.0,-0.2759889604415866,
enrollment,Wauwatosa,West High,West High — All Students,2020-21,1045,-39.0,-3.59778597785978,
enrollment,Wauwatosa,West High,West High — All Students,2021-22,1069,24.0,2.2966507177033524,
enrollment,Wauwatosa,West High,West High — All Students,2022-23,1050,-19.0,-1.7773620205799867,
