metric,dimension,group,district,school,year,value,count,status_flag
chronic_absenteeism,Disability Status,SwD,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2024-25,32.6,46.0,
chronic_absenteeism,Disability Status,SwoD,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2024-25,38.3,128.0,
chronic_absenteeism,Disability Status,SwD,Carmen Middle School South,Carmen Middle School South,2021-22,,18.0,Group under 20 students — rate omitted
chronic_absenteeism,Disability Status,SwoD,Carmen Middle School South,Carmen Middle School South,2021-22,23.6,161.0,
chronic_absenteeism,Disability Status,SwD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2018-19,30.8,26.0,
chronic_absenteeism,Disability Status,SwoD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2018-19,22.7,361.0,
chronic_absenteeism,Disability Status,SwD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2019-20,36.5,52.0,
chronic_absenteeism,Disability Status,SwoD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2019-20,25.9,378.0,
chronic_absenteeism,Disability Status,SwD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2020-21,52.3,44.0,
chronic_absenteeism,Disability Status,SwoD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2020-21,46.9,352.0,
chronic_absenteeism,Disability Status,SwD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2021-22,54.8,31.0,
chronic_absenteeism,Disability Status,SwoD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2021-22,60.3,345.0,
chronic_absenteeism,Disability Status,SwD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2022-23,55.2,29.0,
chronic_absenteeism,Disability Status,SwoD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2022-23,55.5,344.0,
chronic_absenteeism,Disability Status,SwD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2023-24,42.9,21.0,
chronic_absenteeism,Disability Status,SwoD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2023-24,46.0,326.0,
chronic_absenteeism,Disability Status,SwD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2024-25,47.4,38.0,
chronic_absenteeism,Disability Status,SwoD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2024-25,31.8,267.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Cudahy High,2018-19,38.1,118.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Cudahy High,2018-19,24.5,617.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Cudahy High,2019-20,38.2,110.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Cudahy High,2019-20,26.1,595.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Cudahy High,2020-21,49.1,110.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Cudahy High,2020-21,33.6,565.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Cudahy High,2021-22,38.9,108.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Cudahy High,2021-22,31.1,530.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Cudahy High,2022-23,33.0,103.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Cudahy High,2022-23,31.7,564.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Cudahy High,2023-24,38.2,102.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Cudahy High,2023-24,35.1,542.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Cudahy High,2024-25,41.2,97.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Cudahy High,2024-25,31.6,532.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Cudahy Middle,2018-19,40.0,90.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Cudahy Middle,2018-19,17.3,428.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Cudahy Middle,2019-20,41.2,85.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Cudahy Middle,2019-20,20.0,441.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Cudahy Middle,2020-21,38.9,90.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Cudahy Middle,2020-21,26.3,403.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Cudahy Middle,2021-22,38.6,88.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Cudahy Middle,2021-22,23.4,393.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Cudahy Middle,2022-23,27.9,86.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Cudahy Middle,2022-23,22.0,332.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Cudahy Middle,2023-24,39.6,53.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Cudahy Middle,2023-24,33.7,196.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Cudahy Middle,2024-25,40.4,47.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Cudahy Middle,2024-25,36.5,197.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Jones Elementary,2018-19,24.0,25.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Jones Elementary,2018-19,8.2,73.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Jones Elementary,2019-20,27.3,22.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Jones Elementary,2019-20,18.0,89.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Jones Elementary,2020-21,23.8,21.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Jones Elementary,2020-21,6.7,90.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Jones Elementary,2021-22,25.0,28.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Jones Elementary,2021-22,25.0,108.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Jones Elementary,2022-23,19.2,26.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Jones Elementary,2022-23,12.4,105.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Jones Elementary,2023-24,33.3,33.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Jones Elementary,2023-24,17.2,122.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Jones Elementary,2024-25,29.0,31.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Jones Elementary,2024-25,10.5,114.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Kosciuszko Elementary,2018-19,31.9,47.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Kosciuszko Elementary,2018-19,17.7,175.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Kosciuszko Elementary,2019-20,25.0,36.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Kosciuszko Elementary,2019-20,26.5,147.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Kosciuszko Elementary,2020-21,31.3,48.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Kosciuszko Elementary,2020-21,19.3,145.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Kosciuszko Elementary,2021-22,27.9,43.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Kosciuszko Elementary,2021-22,28.0,132.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Kosciuszko Elementary,2022-23,51.2,41.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Kosciuszko Elementary,2022-23,38.8,134.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Kosciuszko Elementary,2023-24,33.3,45.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Kosciuszko Elementary,2023-24,28.8,160.0,
