metric,subject,unit,district,school,group,year,value,pct_below,pct_notest,yoy_change,pct_change,status_flag,gap_reason,tested,population
forward,math,pct,Oak Creek-Franklin Joint,Oak Creek East Middle,All Students,2018-19,10.4651,0.0,0.8457,,,,,938.0,946.0
forward,math,pct,Milwaukee,Victory Elementary,All Students,2018-19,0.6154,0.0,0.6154,,,,,323.0,325.0
forward,math,pct,Milwaukee,Trowbridge Street School of Great Lakes Studies,All Students,2018-19,0.0,0.0,1.2821,,,,,154.0,156.0
forward,math,pct,Milwaukee,Townsend Street Elementary,All Students,2018-19,0.0,0.0,0.995,,,,,199.0,201.0
forward,math,pct,Milwaukee,Thurston Woods Elementary,All Students,2018-19,0.0,0.0,0.0,,,,,207.0,207.0
forward,math,pct,Milwaukee,Wisconsin Conservatory of Lifelong Learning,All Students,2018-19,0.0,0.0,2.6906,,,,,217.0,223.0
forward,math,pct,Milwaukee,Whittier Elementary,All Students,2018-19,23.5955,0.0,0.0,,,,,89.0,89.0
forward,math,pct,Milwaukee,Whitman Elementary,All Students,2018-19,3.4188,0.0,2.1368,,,,,229.0,234.0
forward,math,pct,Milwaukee,Westside Academy,All Students,2018-19,0.0,0.0,0.0,,,,,73.0,73.0
forward,math,pct,Milwaukee,Wedgewood Park School,All Students,2018-19,3.2634,0.0,0.4662,,,,,854.0,858.0
forward,math,pct,Milwaukee,Vieau Elementary,All Students,2018-19,2.9148,0.0,0.2242,,,,,445.0,446.0
forward,math,pct,South Milwaukee,Lakeview Elementary,All Students,2018-19,10.3704,0.0,0.0,,,,,135.0,135.0
forward,math,pct,South Milwaukee,E W Luther Elementary,All Students,2018-19,21.8391,0.0,0.0,,,,,87.0,87.0
forward,math,pct,South Milwaukee,Blakewood Elementary,All Students,2018-19,5.3333,0.0,0.0,,,,,150.0,150.0
forward,math,pct,South Milwaukee,Rawson Elementary,All Students,2018-19,8.0808,0.0,2.5253,,,,,193.0,198.0
forward,math,pct,South Milwaukee,South Milwaukee Middle,All Students,2018-19,3.2407,0.0,1.6975,,,,,637.0,648.0
forward,math,pct,Wauwatosa,Jefferson Elementary,All Students,2018-19,18.5484,0.0,0.0,,,,,124.0,124.0
forward,math,pct,Wauwatosa,Eisenhower Elementary,All Students,2018-19,11.7021,0.0,0.5319,,,,,187.0,188.0
forward,math,pct,United Community Center Acosta Middle,United Community Center Acosta Middle School,All Students,2018-19,1.8868,0.0,0.0,,,,,159.0,159.0
forward,math,pct,Stellar Collegiate Charter School,Stellar Collegiate Charter School,All Students,2018-19,0.0,0.0,0.0,,,,,23.0,23.0
forward,math,pct,Shorewood,Shorewood Intermediate,All Students,2018-19,12.3746,0.0,5.0167,,,,,284.0,299.0
forward,math,pct,Rocketship Education Wisconsin,Rocketship Southside Community Prep,All Students,2018-19,6.4677,0.0,3.4826,,,,,194.0,201.0
forward,math,pct,Oak Creek-Franklin Joint,Shepard Hills Elementary,All Students,2018-19,9.1304,0.0,0.0,,,,,230.0,230.0
forward,math,pct,Oak Creek-Franklin Joint,Oak Creek West Middle,All Students,2018-19,9.3478,0.0,0.2174,,,,,459.0,460.0
forward,math,pct,Rocketship Education Wisconsin,Rocketship Transformation Prep,All Students,2018-19,0.0,0.0,0.0,,,,,10.0,10.0
forward,math,pct,Shorewood,Lake Bluff Elementary,All Students,2018-19,20.303,0.0,4.2424,,,,,316.0,330.0
