district,school,city,is_city
Greendale,Highland View Elementary,Greendale,False
Greendale,Time 4 Learning Charter School,Greendale,False
Greenfield,Edgewood Elementary,Greenfield,False
Greenfield,Elm Dale Elementary,Greenfield,False
Greenfield,Glenwood Elementary,Greenfield,False
Greenfield,Greenfield High,Greenfield,False
Greenfield,Greenfield Middle,Greenfield,False
Greenfield,Maple Grove Elementary,Greenfield,False
Maple Dale-Indian Hill,Indian Hill School,River Hills,False
Maple Dale-Indian Hill,Maple Dale School,Fox Point,False
Milwaukee,ALBA - Academia de Lenguaje y Bellas Artes,Milwaukee,True
Milwaukee,ASSATA High,Milwaukee,True
Milwaukee,Academy of Accelerated Learning,Milwaukee,True
Milwaukee,Alcott Elementary,Milwaukee,True
Milwaukee,Allen-Field Elementary,Milwaukee,True
Milwaukee,Alliance School of Milwaukee,Milwaukee,True
Milwaukee,Andrew Douglas School,Milwaukee (inferred),True
Milwaukee,Andrew S Douglas Middle,Milwaukee,True
Milwaukee,Audubon Technology and Communication High,Milwaukee,True
Milwaukee,Audubon Technology and Communication Middle,Milwaukee,True
Milwaukee,Auer Avenue Elementary,Milwaukee,True
Milwaukee,Banner Preparatory School of Milwaukee,Milwaukee,True
Milwaukee,Barbee Elementary,Milwaukee,True
Milwaukee,Barton Elementary,Milwaukee,True
Milwaukee,Bay View High,Milwaukee,True
Milwaukee,Bay View Montessori School,Milwaukee,True
Milwaukee,Bethune Academy,Milwaukee,True
Milwaukee,Bradley Technology High,Milwaukee,True
Milwaukee,Brown Street Academy,Milwaukee,True
Milwaukee,Browning Elementary,Milwaukee,True
Milwaukee,Bruce Elementary,Milwaukee,True
Milwaukee,Bryant Elementary,Milwaukee,True
Milwaukee,Burbank Elementary,Milwaukee,True
Milwaukee,Burdick Elementary,Milwaukee,True
Milwaukee,Carmen High School of Science and Technology South Campus,Milwaukee,True
Milwaukee,Carmen High School of Science and Technology Southeast Campus,Milwaukee,True
Milwaukee,Carmen Middle School South,Milwaukee (inferred),True
Milwaukee,Carmen Middle/High School of Science and Technology Northwest Campus,Milwaukee,True
Milwaukee,Carson Academy,Milwaukee,True
Milwaukee,Carver Academy,Milwaukee,True
Milwaukee,Cass Street Elementary,Milwaukee,True
Milwaukee,Clarke Street Elementary,Milwaukee,True
Milwaukee,Clemens Elementary,Milwaukee,True
Milwaukee,Clement Avenue Elementary,Milwaukee,True
Milwaukee,Congress Elementary,Milwaukee,True
Milwaukee,Cooper Elementary,Milwaukee,True
Milwaukee,Craig Montessori School,Milwaukee,True
Milwaukee,Curtin Elementary,Milwaukee,True
