district,school,year,groups_compared,highest_group,highest_rate,lowest_group,lowest_rate,high_low_ratio,black_rate,white_rate,black_white_ratio,black_overrep_index,black_enrollment
Milwaukee,Green Tree Preparatory Academy,2024-25,3,Black,93.51,Hispanic,76.0,1.23,93.51,,,1.02,462.0
Milwaukee,Gaenslen Elementary,2024-25,3,Two or More,18.92,Hispanic,15.52,1.22,18.23,,,1.01,521.0
Milwaukee,Milwaukee College Preparatory School -- 38th Street,2024-25,2,Hispanic,57.14,Black,47.32,1.21,47.32,,,0.99,429.0
Milwaukee Scholars Charter School,Milwaukee Scholars Charter School,2024-25,3,Black,159.0,Two or More,133.33,1.19,159.0,,,1.03,561.0
Brown Deer,Brown Deer Elementary,2024-25,5,Two or More,6.49,Hispanic,0.0,,3.6,0.0,,1.34,361.0
Brown Deer,Brown Deer Middle/High,2024-25,5,Hispanic,19.48,Two or More,0.0,,10.92,1.92,5.69,1.29,522.0
Cudahy,Lincoln Elementary,2024-25,4,Black,0.0,Black,0.0,,0.0,0.0,,,32.0
Cudahy,Mitchell Elementary,2024-25,4,Black,0.0,Black,0.0,,0.0,0.0,,,39.0
Downtown Montessori Academy,Downtown Montessori,2024-25,2,Hispanic,0.0,Hispanic,0.0,,,0.0,,,
Fox Point J2,Bayside Middle,2024-25,3,Hispanic,8.7,Two or More,0.0,,,6.05,,,
Fox Point J2,Stormonth Elementary,2024-25,3,White,0.79,Hispanic,0.0,,,0.79,,,
Franklin Public,Ben Franklin Elementary,2024-25,3,Hispanic,11.11,Asian,0.0,,,2.37,,,
Franklin Public,Country Dale Elementary,2024-25,4,White,1.46,Asian,0.0,,,1.46,,,
Franklin Public,Pleasant View Elementary,2024-25,4,White,2.27,Asian,0.0,,,2.27,,,
Franklin Public,Robinwood Elementary,2024-25,4,Hispanic,5.36,Asian,0.0,,,0.38,,,
Franklin Public,Southwood Glen Elementary,2024-25,4,White,0.43,Asian,0.0,,,0.43,,,
Glendale-River Hills,Parkway Elementary,2024-25,4,Black,10.49,Hispanic,0.0,,10.49,1.92,5.46,2.25,162.0
Greendale,College Park Elementary,2024-25,4,Hispanic,20.0,Asian,0.0,,,2.27,,,
Greendale,Highland View Elementary,2024-25,3,Hispanic,7.46,Two or More,0.0,,,0.88,,,
Greenfield,Edgewood Elementary,2024-25,5,Hispanic,9.62,Asian,0.0,,0.0,2.48,0.0,0.0,21.0
Greenfield,Elm Dale Elementary,2024-25,5,Two or More,15.79,Asian,0.0,,0.0,3.88,0.0,0.0,24.0
Greenfield,Glenwood Elementary,2024-25,4,White,23.33,Two or More,0.0,,,23.33,,,
Milwaukee,Academy of Accelerated Learning,2024-25,5,Black,6.67,Asian,0.0,,6.67,3.6,1.85,1.92,75.0
Milwaukee,Barbee Elementary,2024-25,2,Black,1.77,White,0.0,,1.77,0.0,,1.11,226.0
Milwaukee,Bay View Montessori School,2024-25,4,Black,0.0,Black,0.0,,0.0,0.0,,,23.0
Milwaukee,Bethune Academy,2024-25,3,Black,26.05,Hispanic,0.0,,26.05,,,1.52,357.0
Milwaukee,Burbank Elementary,2024-25,5,Black,37.17,Two or More,0.0,,37.17,7.84,4.74,2.0,226.0
Milwaukee,Burdick Elementary,2024-25,5,Black,11.25,Asian,0.0,,11.25,1.19,9.45,2.46,80.0
Milwaukee,Clemens Elementary,2024-25,2,Black,1.41,Hispanic,0.0,,1.41,,,1.08,284.0
Milwaukee,Cooper Elementary,2024-25,5,Black,8.75,Two or More,0.0,,8.75,5.22,1.68,2.3,80.0
Milwaukee,Elm Creative Arts Elementary,2024-25,3,Black,23.96,Hispanic,0.0,,23.96,,,1.12,288.0
Milwaukee,Engleburg Elementary,2024-25,2,Black,7.21,Asian,0.0,,7.21,,,1.09,222.0
Milwaukee,Fairview Elementary,2024-25,5,Two or More,20.0,Asian,0.0,,16.88,3.23,5.23,2.16,77.0
Milwaukee,Fratney Elementary,2024-25,3,Hispanic,0.9,Black,0.0,,0.0,0.0,,0.0,65.0
Milwaukee,Garland Elementary,2024-25,5,Hispanic,15.52,Two or More,0.0,,5.36,8.39,0.64,0.72,56.0
Milwaukee,Golda Meir School,2024-25,5,Black,15.89,Asian,0.0,,15.89,4.98,3.19,1.44,667.0
Milwaukee,Goodrich Elementary,2024-25,4,Asian,0.0,Asian,0.0,,0.0,,,,210.0
Milwaukee,HAPA-Hmong American Peace Academy K3-12,2024-25,3,Asian,1.15,Hispanic,0.0,,,,,,
Milwaukee,Hawthorne Elementary,2024-25,2,Black,5.86,Hispanic,0.0,,5.86,,,1.09,222.0
Milwaukee,Highland Community School,2024-25,4,Black,0.0,Black,0.0,,0.0,0.0,,,142.0
Milwaukee,Honey Creek Elementary,2024-25,5,Black,7.46,Asian,0.0,,7.46,1.43,5.22,2.92,67.0
Milwaukee,Humboldt Park Elementary,2024-25,5,Black,22.08,Two or More,0.0,,22.08,3.41,6.48,2.65,77.0
Milwaukee,James Madison Academic Campus,2024-25,3,Black,133.0,Asian,0.0,,133.0,,,1.07,406.0
Milwaukee,King International,2024-25,5,Black,22.86,Two or More,0.0,,22.86,4.03,5.67,1.51,796.0
Milwaukee,Kluge Elementary,2024-25,2,Black,10.4,Asian,0.0,,10.4,,,1.09,250.0
Milwaukee,Manitoba Elementary,2024-25,5,Black,64.36,White,0.0,,64.36,0.0,,2.53,101.0
Milwaukee,Maple Tree Elementary,2024-25,2,Black,10.75,Hispanic,0.0,,10.75,,,1.12,186.0
Milwaukee,Maryland Montessori,2024-25,4,White,1.78,Hispanic,0.0,,1.45,1.78,0.81,1.09,69.0
Milwaukee,Milwaukee French Immersion,2024-25,4,Black,5.08,Hispanic,0.0,,5.08,0.0,,1.61,256.0
Milwaukee,Milwaukee German Immersion,2024-25,4,Black,0.74,Hispanic,0.0,,0.74,0.0,,3.98,136.0
Milwaukee,Milwaukee Parkside School,2024-25,5,Black,11.04,Two or More,0.0,,11.04,1.79,6.17,2.77,154.0
Milwaukee,Milwaukee School of Languages,2024-25,5,Black,47.79,Asian,0.0,,47.79,7.53,6.35,1.57,452.0
Milwaukee,Milwaukee Sign Language Elementary,2024-25,3,Black,98.09,Asian,0.0,,98.09,,,1.11,314.0
Milwaukee,Neeskara Elementary,2024-25,3,Two or More,11.63,Hispanic,0.0,,9.13,,,1.09,252.0
Milwaukee,Ninety-Fifth Street Elementary,2024-25,5,Black,14.94,Asian,0.0,,14.94,0.0,,1.42,261.0
Milwaukee,Obama School of Career and Technical Education,2024-25,5,Black,63.95,Asian,0.0,,63.95,0.0,,1.22,993.0
Milwaukee,Parkview Elementary,2024-25,3,Black,4.61,Two or More,0.0,,4.61,,,1.77,152.0
Milwaukee,Reagan College Preparatory High,2024-25,5,Black,19.83,Two or More,0.0,,19.83,6.35,3.12,3.27,121.0
Milwaukee,Riley Dual Language Montessori School,2024-25,2,Hispanic,5.94,White,0.0,,,0.0,,,
Milwaukee,River Trail School of Agricultural Science,2024-25,3,Black,88.75,Asian,0.0,,88.75,,,1.12,329.0
Milwaukee,South Accelerated Academy,2024-25,2,Hispanic,25.81,Black,0.0,,0.0,,,0.0,22.0
Milwaukee,Story Elementary,2024-25,2,Black,59.29,Asian,0.0,,59.29,,,1.16,280.0
Milwaukee,Stuart Elementary,2024-25,3,Black,6.09,Asian,0.0,,6.09,,,1.53,197.0
Milwaukee,Wedgewood Park School,2024-25,5,Black,179.07,Two or More,0.0,,179.07,61.11,2.93,1.72,172.0
Milwaukee,Whitman Elementary,2024-25,5,Black,28.92,Asian,0.0,,28.92,16.39,1.76,2.11,83.0
Milwaukee,Whittier Elementary,2024-25,3,Black,0.0,Black,0.0,,0.0,0.0,,,33.0
Milwaukee,Zablocki Elementary,2024-25,4,Hispanic,21.19,White,0.0,,17.24,0.0,,1.21,29.0
Nicolet Union High School,Nicolet High,2024-25,5,Black,13.82,Asian,0.0,,13.82,1.78,7.76,2.61,246.0
Oak Creek-Franklin Joint,Carollton Elementary,2024-25,3,White,3.44,Hispanic,0.0,,,3.44,,,
