metric,dimension,group,category,unit,district,school,year,value,count,group_enrollment,status_flag
discipline,Race/Ethnicity,Black,expulsion,count,Brown Deer,Brown Deer Elementary,2021-22,0.0,0.0,319.0,Zero reported
discipline,Race/Ethnicity,Hispanic,suspension,rate,Brown Deer,Brown Deer Elementary,2021-22,1.54,1.0,65.0,
discipline,Race/Ethnicity,Hispanic,expulsion,count,Brown Deer,Brown Deer Elementary,2021-22,0.0,0.0,65.0,Zero reported
discipline,Race/Ethnicity,Two or More,suspension,rate,Brown Deer,Brown Deer Elementary,2021-22,0.0,0.0,56.0,Zero reported
discipline,Race/Ethnicity,Two or More,expulsion,count,Brown Deer,Brown Deer Elementary,2021-22,0.0,0.0,56.0,Zero reported
discipline,Race/Ethnicity,White,suspension,rate,Brown Deer,Brown Deer Elementary,2021-22,0.0,0.0,100.0,Zero reported
discipline,Race/Ethnicity,White,expulsion,count,Brown Deer,Brown Deer Elementary,2021-22,0.0,0.0,100.0,Zero reported
discipline,Race/Ethnicity,Amer Indian,suspension,rate,Brown Deer,Brown Deer Elementary,2022-23,,0.0,2.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Amer Indian,expulsion,count,Brown Deer,Brown Deer Elementary,2022-23,0.0,0.0,2.0,Zero reported
discipline,Race/Ethnicity,Asian,suspension,rate,Brown Deer,Brown Deer Elementary,2022-23,0.0,0.0,135.0,Zero reported
discipline,Race/Ethnicity,Asian,expulsion,count,Brown Deer,Brown Deer Elementary,2022-23,0.0,0.0,135.0,Zero reported
discipline,Race/Ethnicity,Black,suspension,rate,Brown Deer,Brown Deer Elementary,2022-23,0.0,0.0,359.0,Zero reported
discipline,Race/Ethnicity,Black,expulsion,count,Brown Deer,Brown Deer Elementary,2022-23,0.0,0.0,359.0,Zero reported
discipline,Race/Ethnicity,Hispanic,suspension,rate,Brown Deer,Brown Deer Elementary,2022-23,0.0,0.0,53.0,Zero reported
discipline,Race/Ethnicity,Hispanic,expulsion,count,Brown Deer,Brown Deer Elementary,2022-23,0.0,0.0,53.0,Zero reported
discipline,Race/Ethnicity,Two or More,suspension,rate,Brown Deer,Brown Deer Elementary,2022-23,0.0,0.0,56.0,Zero reported
discipline,Race/Ethnicity,Two or More,expulsion,count,Brown Deer,Brown Deer Elementary,2022-23,0.0,0.0,56.0,Zero reported
discipline,Race/Ethnicity,White,suspension,rate,Brown Deer,Brown Deer Elementary,2022-23,0.0,0.0,104.0,Zero reported
discipline,Race/Ethnicity,White,expulsion,count,Brown Deer,Brown Deer Elementary,2022-23,0.0,0.0,104.0,Zero reported
discipline,Race/Ethnicity,Amer Indian,suspension,rate,Brown Deer,Brown Deer Elementary,2023-24,,0.0,2.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Amer Indian,expulsion,count,Brown Deer,Brown Deer Elementary,2023-24,0.0,0.0,2.0,Zero reported
discipline,Race/Ethnicity,Asian,suspension,rate,Brown Deer,Brown Deer Elementary,2023-24,0.0,0.0,132.0,Zero reported
discipline,Race/Ethnicity,Asian,expulsion,count,Brown Deer,Brown Deer Elementary,2023-24,0.0,0.0,132.0,Zero reported
discipline,Race/Ethnicity,Black,suspension,rate,Brown Deer,Brown Deer Elementary,2023-24,0.0,0.0,378.0,Zero reported
discipline,Race/Ethnicity,Black,expulsion,count,Brown Deer,Brown Deer Elementary,2023-24,0.0,0.0,378.0,Zero reported
discipline,Race/Ethnicity,Hispanic,suspension,rate,Brown Deer,Brown Deer Elementary,2023-24,0.0,0.0,46.0,Zero reported
discipline,Race/Ethnicity,Hispanic,expulsion,count,Brown Deer,Brown Deer Elementary,2023-24,0.0,0.0,46.0,Zero reported
discipline,Race/Ethnicity,Two or More,suspension,rate,Brown Deer,Brown Deer Elementary,2023-24,0.0,0.0,57.0,Zero reported
discipline,Race/Ethnicity,Two or More,expulsion,count,Brown Deer,Brown Deer Elementary,2023-24,0.0,0.0,57.0,Zero reported
discipline,Race/Ethnicity,White,suspension,rate,Brown Deer,Brown Deer Elementary,2023-24,0.0,0.0,107.0,Zero reported
discipline,Race/Ethnicity,White,expulsion,count,Brown Deer,Brown Deer Elementary,2023-24,0.0,0.0,107.0,Zero reported
discipline,Race/Ethnicity,Amer Indian,suspension,rate,Brown Deer,Brown Deer Elementary,2024-25,,0.0,3.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Amer Indian,expulsion,count,Brown Deer,Brown Deer Elementary,2024-25,0.0,0.0,3.0,Zero reported
discipline,Race/Ethnicity,Asian,suspension,rate,Brown Deer,Brown Deer Elementary,2024-25,0.76,1.0,131.0,
discipline,Race/Ethnicity,Asian,expulsion,count,Brown Deer,Brown Deer Elementary,2024-25,0.0,0.0,131.0,Zero reported
discipline,Race/Ethnicity,Black,suspension,rate,Brown Deer,Brown Deer Elementary,2024-25,3.6,13.0,361.0,
discipline,Race/Ethnicity,Black,expulsion,count,Brown Deer,Brown Deer Elementary,2024-25,0.0,0.0,361.0,Zero reported
discipline,Race/Ethnicity,Hispanic,suspension,rate,Brown Deer,Brown Deer Elementary,2024-25,0.0,0.0,46.0,Zero reported
discipline,Race/Ethnicity,Hispanic,expulsion,count,Brown Deer,Brown Deer Elementary,2024-25,0.0,0.0,46.0,Zero reported
discipline,Race/Ethnicity,Two or More,suspension,rate,Brown Deer,Brown Deer Elementary,2024-25,6.49,5.0,77.0,
discipline,Race/Ethnicity,Two or More,expulsion,count,Brown Deer,Brown Deer Elementary,2024-25,0.0,0.0,77.0,Zero reported
discipline,Race/Ethnicity,White,suspension,rate,Brown Deer,Brown Deer Elementary,2024-25,0.0,0.0,91.0,Zero reported
discipline,Race/Ethnicity,White,expulsion,count,Brown Deer,Brown Deer Elementary,2024-25,0.0,0.0,91.0,Zero reported
discipline,Race/Ethnicity,Amer Indian,suspension,rate,Brown Deer,Brown Deer Middle/High,2018-19,,0.0,7.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Amer Indian,expulsion,count,Brown Deer,Brown Deer Middle/High,2018-19,0.0,0.0,7.0,Zero reported
discipline,Race/Ethnicity,Asian,suspension,rate,Brown Deer,Brown Deer Middle/High,2018-19,1.3,1.0,77.0,
discipline,Race/Ethnicity,Asian,expulsion,count,Brown Deer,Brown Deer Middle/High,2018-19,0.0,0.0,77.0,Zero reported
discipline,Race/Ethnicity,Black,suspension,rate,Brown Deer,Brown Deer Middle/High,2018-19,19.9,80.0,402.0,
