metric,dimension,group,subject,unit,district,school,year,value,pct_below,pct_notest,avg_score,gap_reason,tested,population,status_flag
act,Disability Status,SwD,reading,pct,Milwaukee,HAPA-Hmong American Peace Academy K3-12,2019-20,0.0,0.0,0.0,13.6,,8.0,8.0,
act,Economic Status,Econ Disadv,reading,pct,West Allis-West Milwaukee,Nathan Hale High,2019-20,0.0,0.0,9.4891,18.4,,124.0,137.0,
act,Disability Status,SwoD,reading,pct,Milwaukee,HAPA-Hmong American Peace Academy K3-12,2019-20,0.0,0.0,2.5,18.7,,78.0,80.0,
act,All Students,All Students,reading,pct,Shorewood,Shorewood High,2019-20,0.0,0.0,3.3557,24.8,,144.0,149.0,
act,Gender,Male,reading,pct,Milwaukee,Wisconsin Conservatory of Lifelong Learning,2019-20,0.0,0.0,41.6667,16.0,,7.0,12.0,
act,Gender,Female,reading,pct,Milwaukee,Wisconsin Conservatory of Lifelong Learning,2019-20,0.0,0.0,28.5714,12.8,,10.0,14.0,
act,Race/Ethnicity,White,reading,pct,Milwaukee,Alliance School of Milwaukee,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,All Students,All Students,reading,pct,South Milwaukee,South Milwaukee High,2019-20,0.0,0.0,11.8321,19.2,,231.0,262.0,
act,Race/Ethnicity,Hispanic,reading,pct,Seeds of Health,Tenor High,2019-20,0.0,0.0,0.0,18.7,,22.0,22.0,
act,Race/Ethnicity,White,reading,pct,Milwaukee,Carmen Middle/High School of Science and Technology Northwest Campus,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,Migrant Status,Not Migrant,reading,pct,Oak Creek-Franklin Joint,Oak Creek High,2019-20,0.0,0.0,5.4688,19.4,,484.0,512.0,
act,Disability Status,SwD,reading,pct,Milwaukee,Harold S Vincent School of Agricultural Science,2019-20,0.0,0.0,73.913,10.7,,6.0,23.0,
act,Disability Status,SwoD,reading,pct,Milwaukee,Harold S Vincent School of Agricultural Science,2019-20,0.0,0.0,34.2857,13.6,,69.0,105.0,
act,Disability Status,SwoD,reading,pct,West Allis-West Milwaukee,Nathan Hale High,2019-20,0.0,0.0,4.2553,19.8,,270.0,282.0,
act,Disability Status,SwD,reading,pct,West Allis-West Milwaukee,Nathan Hale High,2019-20,0.0,0.0,26.6667,15.2,,22.0,30.0,
act,Migrant Status,Not Migrant,reading,pct,Saint Francis,Saint Francis High,2019-20,0.0,0.0,3.5398,17.0,,109.0,113.0,
act,Disability Status,SwoD,reading,pct,West Allis-West Milwaukee,James E Dottke Project-Based Learning High School,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,Disability Status,SwD,reading,pct,West Allis-West Milwaukee,James E Dottke Project-Based Learning High School,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,EL Status,EL,reading,pct,Milwaukee,Milwaukee High School of the Arts,2019-20,0.0,0.0,94.1176,12.0,,1.0,17.0,
act,Economic Status,Not Econ Disadv,reading,pct,Wauwatosa,West High,2019-20,0.0,0.0,6.7485,21.4,,152.0,163.0,
act,Economic Status,Econ Disadv,reading,pct,Wauwatosa,West High,2019-20,0.0,0.0,4.3478,16.3,,66.0,69.0,
act,EL Status,Eng Prof,reading,pct,Milwaukee,Milwaukee High School of the Arts,2019-20,0.0,0.0,29.4872,17.7,,110.0,156.0,
act,Economic Status,Econ Disadv,reading,pct,Greendale,Greendale High,2019-20,0.0,0.0,2.1277,18.7,,46.0,47.0,
act,Economic Status,Not Econ Disadv,reading,pct,Greendale,Greendale High,2019-20,0.0,0.0,3.7037,23.2,,156.0,162.0,
act,Race/Ethnicity,Hispanic,reading,pct,Greendale,Greendale High,2019-20,0.0,0.0,3.2258,20.2,,30.0,31.0,
act,Migrant Status,Not Migrant,reading,pct,Seeds of Health,Tenor High,2019-20,0.0,0.0,2.1277,19.0,,46.0,47.0,
act,Disability Status,SwoD,reading,pct,West Allis-West Milwaukee,Central High,2019-20,0.0,0.0,3.9106,18.8,,172.0,179.0,
act,Disability Status,SwD,reading,pct,West Allis-West Milwaukee,Central High,2019-20,0.0,0.0,21.4286,13.0,,33.0,42.0,
act,Economic Status,Not Econ Disadv,reading,pct,Wauwatosa,Wauwatosa Virtual Academy,2019-20,0.0,0.0,39.1304,21.3,,14.0,23.0,
act,Race/Ethnicity,Asian,reading,pct,Whitnall,Whitnall High,2019-20,0.0,0.0,12.5,21.7,,7.0,8.0,
