metric,district,school,group,year,value,yoy_change,pct_change,status_flag
chronic_absenteeism,Cudahy,Jones Elementary,Jones Elementary — All Students,2022-23,13.7,-11.3,-45.2,
chronic_absenteeism,Cudahy,Jones Elementary,Jones Elementary — All Students,2023-24,20.6,6.9,50.4,
chronic_absenteeism,Cudahy,Jones Elementary,Jones Elementary — All Students,2024-25,14.5,-6.1,-29.6,
chronic_absenteeism,Cudahy,Kosciuszko Elementary,Kosciuszko Elementary — All Students,2018-19,20.7,,,
chronic_absenteeism,Cudahy,Kosciuszko Elementary,Kosciuszko Elementary — All Students,2019-20,26.2,5.5,26.6,
chronic_absenteeism,Cudahy,Kosciuszko Elementary,Kosciuszko Elementary — All Students,2020-21,22.3,-3.9,-14.9,
chronic_absenteeism,Cudahy,Kosciuszko Elementary,Kosciuszko Elementary — All Students,2021-22,28.0,5.7,25.6,
chronic_absenteeism,Cudahy,Kosciuszko Elementary,Kosciuszko Elementary — All Students,2022-23,41.7,13.7,48.9,
chronic_absenteeism,Cudahy,Kosciuszko Elementary,Kosciuszko Elementary — All Students,2023-24,29.8,-11.9,-28.5,
chronic_absenteeism,Cudahy,Kosciuszko Elementary,Kosciuszko Elementary — All Students,2024-25,34.8,5.0,16.8,
chronic_absenteeism,Cudahy,Lincoln Elementary,Lincoln Elementary — All Students,2018-19,20.6,,,
chronic_absenteeism,Cudahy,Lincoln Elementary,Lincoln Elementary — All Students,2019-20,20.9,0.3,1.5,
chronic_absenteeism,Cudahy,Lincoln Elementary,Lincoln Elementary — All Students,2020-21,22.1,1.2,5.7,
chronic_absenteeism,Cudahy,Lincoln Elementary,Lincoln Elementary — All Students,2021-22,50.9,28.8,130.3,
chronic_absenteeism,Cudahy,Lincoln Elementary,Lincoln Elementary — All Students,2022-23,38.0,-12.9,-25.3,
chronic_absenteeism,Cudahy,Lincoln Elementary,Lincoln Elementary — All Students,2023-24,34.2,-3.8,-10.0,
chronic_absenteeism,Cudahy,Lincoln Elementary,Lincoln Elementary — All Students,2024-25,35.6,1.4,4.1,
chronic_absenteeism,Cudahy,Mitchell Elementary,Mitchell Elementary — All Students,2018-19,20.5,,,
chronic_absenteeism,Cudahy,Mitchell Elementary,Mitchell Elementary — All Students,2019-20,20.0,-0.5,-2.4,
chronic_absenteeism,Cudahy,Mitchell Elementary,Mitchell Elementary — All Students,2020-21,16.1,-3.9,-19.5,
chronic_absenteeism,Cudahy,Mitchell Elementary,Mitchell Elementary — All Students,2021-22,30.3,14.2,88.2,
chronic_absenteeism,Cudahy,Mitchell Elementary,Mitchell Elementary — All Students,2022-23,27.6,-2.7,-8.9,
chronic_absenteeism,Cudahy,Mitchell Elementary,Mitchell Elementary — All Students,2023-24,21.2,-6.4,-23.2,
chronic_absenteeism,Cudahy,Mitchell Elementary,Mitchell Elementary — All Students,2024-25,22.1,0.9,4.2,
chronic_absenteeism,Cudahy,Park View Elementary,Park View Elementary — All Students,2018-19,16.7,,,
chronic_absenteeism,Cudahy,Park View Elementary,Park View Elementary — All Students,2019-20,17.1,0.4,2.4,
chronic_absenteeism,Cudahy,Park View Elementary,Park View Elementary — All Students,2020-21,32.3,15.2,88.9,
chronic_absenteeism,Cudahy,Park View Elementary,Park View Elementary — All Students,2021-22,43.8,11.5,35.6,
chronic_absenteeism,Darrell L. Hines Academy,Darrell Lynn Hines Academy,Darrell Lynn Hines Academy — All Students,2018-19,22.2,,,
chronic_absenteeism,Darrell L. Hines Academy,Darrell Lynn Hines Academy,Darrell Lynn Hines Academy — All Students,2019-20,22.3,0.1,0.5,
chronic_absenteeism,Darrell L. Hines Academy,Darrell Lynn Hines Academy,Darrell Lynn Hines Academy — All Students,2020-21,36.8,14.5,65.0,
chronic_absenteeism,Darrell L. Hines Academy,Darrell Lynn Hines Academy,Darrell Lynn Hines Academy — All Students,2021-22,48.8,12.0,32.6,
chronic_absenteeism,Darrell L. Hines Academy,Darrell Lynn Hines Academy,Darrell Lynn Hines Academy — All Students,2022-23,38.6,-10.2,-20.9,
chronic_absenteeism,Darrell L. Hines Academy,Darrell Lynn Hines Academy,Darrell Lynn Hines Academy — All Students,2023-24,40.2,1.6,4.1,
chronic_absenteeism,Darrell L. Hines Academy,Darrell Lynn Hines Academy,Darrell Lynn Hines Academy — All Students,2024-25,35.8,-4.4,-10.9,
chronic_absenteeism,Downtown Montessori Academy,Downtown Montessori,Downtown Montessori — All Students,2018-19,0.0,,,
chronic_absenteeism,Downtown Montessori Academy,Downtown Montessori,Downtown Montessori — All Students,2019-20,2.4,2.4,,
chronic_absenteeism,Downtown Montessori Academy,Downtown Montessori,Downtown Montessori — All Students,2020-21,1.6,-0.8,-33.3,
chronic_absenteeism,Downtown Montessori Academy,Downtown Montessori,Downtown Montessori — All Students,2021-22,18.3,16.7,1043.8,
chronic_absenteeism,Downtown Montessori Academy,Downtown Montessori,Downtown Montessori — All Students,2022-23,17.6,-0.7,-3.8,
chronic_absenteeism,Downtown Montessori Academy,Downtown Montessori,Downtown Montessori — All Students,2023-24,9.8,-7.8,-44.3,
chronic_absenteeism,Downtown Montessori Academy,Downtown Montessori,Downtown Montessori — All Students,2024-25,8.2,-1.6,-16.3,
chronic_absenteeism,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy — All Students,2019-20,27.2,,,
chronic_absenteeism,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy — All Students,2020-21,16.5,-10.7,-39.3,
chronic_absenteeism,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy — All Students,2021-22,3.5,-13.0,-78.8,
chronic_absenteeism,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy — All Students,2022-23,61.1,57.6,1645.7,
chronic_absenteeism,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy — All Students,2023-24,60.7,-0.4,-0.7,
chronic_absenteeism,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy — All Students,2024-25,53.7,-7.0,-11.5,
chronic_absenteeism,Escuela Verde,Escuela Verde,Escuela Verde — All Students,2018-19,35.1,,,
chronic_absenteeism,Escuela Verde,Escuela Verde,Escuela Verde — All Students,2019-20,36.0,0.9,2.6,
chronic_absenteeism,Escuela Verde,Escuela Verde,Escuela Verde — All Students,2020-21,11.7,-24.3,-67.5,
chronic_absenteeism,Escuela Verde,Escuela Verde,Escuela Verde — All Students,2021-22,35.3,23.6,201.7,
chronic_absenteeism,Fox Point J2,Bayside Middle,Bayside Middle — All Students,2018-19,6.0,,,
chronic_absenteeism,Fox Point J2,Bayside Middle,Bayside Middle — All Students,2019-20,6.5,0.5,8.3,
chronic_absenteeism,Fox Point J2,Bayside Middle,Bayside Middle — All Students,2020-21,1.4,-5.1,-78.5,
chronic_absenteeism,Fox Point J2,Bayside Middle,Bayside Middle — All Students,2021-22,3.6,2.2,157.1,
chronic_absenteeism,Fox Point J2,Bayside Middle,Bayside Middle — All Students,2022-23,6.4,2.8,77.8,
chronic_absenteeism,Fox Point J2,Bayside Middle,Bayside Middle — All Students,2023-24,6.7,0.3,4.7,
chronic_absenteeism,Fox Point J2,Bayside Middle,Bayside Middle — All Students,2024-25,4.7,-2.0,-29.9,
chronic_absenteeism,Fox Point J2,Stormonth Elementary,Stormonth Elementary — All Students,2018-19,3.7,,,
chronic_absenteeism,Fox Point J2,Stormonth Elementary,Stormonth Elementary — All Students,2019-20,4.7,1.0,27.0,
chronic_absenteeism,Fox Point J2,Stormonth Elementary,Stormonth Elementary — All Students,2020-21,0.5,-4.2,-89.4,
chronic_absenteeism,Fox Point J2,Stormonth Elementary,Stormonth Elementary — All Students,2021-22,5.1,4.6,920.0,
chronic_absenteeism,Fox Point J2,Stormonth Elementary,Stormonth Elementary — All Students,2022-23,8.6,3.5,68.6,
chronic_absenteeism,Fox Point J2,Stormonth Elementary,Stormonth Elementary — All Students,2023-24,6.1,-2.5,-29.1,
chronic_absenteeism,Fox Point J2,Stormonth Elementary,Stormonth Elementary — All Students,2024-25,4.5,-1.6,-26.2,
chronic_absenteeism,Franklin Public,Ben Franklin Elementary,Ben Franklin Elementary — All Students,2018-19,3.1,,,
chronic_absenteeism,Franklin Public,Ben Franklin Elementary,Ben Franklin Elementary — All Students,2019-20,4.1,1.0,32.3,
chronic_absenteeism,Franklin Public,Ben Franklin Elementary,Ben Franklin Elementary — All Students,2020-21,2.5,-1.6,-39.0,
chronic_absenteeism,Franklin Public,Ben Franklin Elementary,Ben Franklin Elementary — All Students,2021-22,4.3,1.8,72.0,
chronic_absenteeism,Franklin Public,Ben Franklin Elementary,Ben Franklin Elementary — All Students,2022-23,9.2,4.9,114.0,
chronic_absenteeism,Franklin Public,Ben Franklin Elementary,Ben Franklin Elementary — All Students,2023-24,6.8,-2.4,-26.1,
chronic_absenteeism,Franklin Public,Ben Franklin Elementary,Ben Franklin Elementary — All Students,2024-25,5.8,-1.0,-14.7,
chronic_absenteeism,Franklin Public,Country Dale Elementary,Country Dale Elementary — All Students,2018-19,4.3,,,
chronic_absenteeism,Franklin Public,Country Dale Elementary,Country Dale Elementary — All Students,2019-20,4.3,0.0,0.0,
chronic_absenteeism,Franklin Public,Country Dale Elementary,Country Dale Elementary — All Students,2020-21,2.4,-1.9,-44.2,
chronic_absenteeism,Franklin Public,Country Dale Elementary,Country Dale Elementary — All Students,2021-22,3.1,0.7,29.2,
chronic_absenteeism,Franklin Public,Country Dale Elementary,Country Dale Elementary — All Students,2022-23,6.3,3.2,103.2,
chronic_absenteeism,Franklin Public,Country Dale Elementary,Country Dale Elementary — All Students,2023-24,8.2,1.9,30.2,
chronic_absenteeism,Franklin Public,Country Dale Elementary,Country Dale Elementary — All Students,2024-25,7.0,-1.2,-14.6,
chronic_absenteeism,Franklin Public,Forest Park Middle,Forest Park Middle — All Students,2018-19,4.7,,,
chronic_absenteeism,Franklin Public,Forest Park Middle,Forest Park Middle — All Students,2019-20,5.9,1.2,25.5,
chronic_absenteeism,Franklin Public,Forest Park Middle,Forest Park Middle — All Students,2020-21,6.1,0.2,3.4,
chronic_absenteeism,Franklin Public,Forest Park Middle,Forest Park Middle — All Students,2021-22,8.4,2.3,37.7,
chronic_absenteeism,Franklin Public,Forest Park Middle,Forest Park Middle — All Students,2022-23,11.1,2.7,32.1,
chronic_absenteeism,Franklin Public,Forest Park Middle,Forest Park Middle — All Students,2023-24,9.5,-1.6,-14.4,
chronic_absenteeism,Franklin Public,Forest Park Middle,Forest Park Middle — All Students,2024-25,8.8,-0.7,-7.4,
chronic_absenteeism,Franklin Public,Franklin High,Franklin High — All Students,2018-19,7.1,,,
chronic_absenteeism,Franklin Public,Franklin High,Franklin High — All Students,2019-20,5.3,-1.8,-25.4,
chronic_absenteeism,Franklin Public,Franklin High,Franklin High — All Students,2020-21,9.1,3.8,71.7,
chronic_absenteeism,Franklin Public,Franklin High,Franklin High — All Students,2021-22,9.4,0.3,3.3,
chronic_absenteeism,Franklin Public,Franklin High,Franklin High — All Students,2022-23,10.2,0.8,8.5,
chronic_absenteeism,Franklin Public,Franklin High,Franklin High — All Students,2023-24,9.5,-0.7,-6.9,
chronic_absenteeism,Franklin Public,Franklin High,Franklin High — All Students,2024-25,7.0,-2.5,-26.3,
chronic_absenteeism,Franklin Public,Milwaukee County Community Reintegration Center,Milwaukee County Community Reintegration Center — All Students,2023-24,100.0,,,
chronic_absenteeism,Franklin Public,Milwaukee County Community Reintegration Center,Milwaukee County Community Reintegration Center — All Students,2024-25,66.7,-33.3,-33.3,
chronic_absenteeism,Franklin Public,Milwaukee County Correctional Facility South,Milwaukee County Correctional Facility South — All Students,2018-19,100.0,,,
chronic_absenteeism,Franklin Public,Milwaukee County Correctional Facility South,Milwaukee County Correctional Facility South — All Students,2019-20,87.5,-12.5,-12.5,
chronic_absenteeism,Franklin Public,Milwaukee County Correctional Facility South,Milwaukee County Correctional Facility South — All Students,2020-21,94.4,6.9,7.9,
chronic_absenteeism,Franklin Public,Milwaukee County Correctional Facility South,Milwaukee County Correctional Facility South — All Students,2021-22,100.0,5.6,5.9,
chronic_absenteeism,Franklin Public,Milwaukee County Correctional Facility South,Milwaukee County Correctional Facility South — All Students,2022-23,94.4,-5.6,-5.6,
chronic_absenteeism,Franklin Public,Pleasant View Elementary,Pleasant View Elementary — All Students,2018-19,5.7,,,
chronic_absenteeism,Franklin Public,Pleasant View Elementary,Pleasant View Elementary — All Students,2019-20,4.8,-0.9,-15.8,
chronic_absenteeism,Franklin Public,Pleasant View Elementary,Pleasant View Elementary — All Students,2020-21,3.3,-1.5,-31.2,
chronic_absenteeism,Franklin Public,Pleasant View Elementary,Pleasant View Elementary — All Students,2021-22,6.2,2.9,87.9,
chronic_absenteeism,Franklin Public,Pleasant View Elementary,Pleasant View Elementary — All Students,2022-23,10.1,3.9,62.9,
