metric,group,year,value,yoy_change,pct_change
discipline_incidents,Glendale-River Hills — All Students,2018-19,40.0,,
discipline_incidents,Glendale-River Hills — All Students,2019-20,11.0,-29.0,-72.5
discipline_incidents,Glendale-River Hills — All Students,2020-21,0.0,-11.0,-100.0
discipline_incidents,Glendale-River Hills — All Students,2021-22,114.0,114.0,inf
discipline_incidents,Glendale-River Hills — All Students,2022-23,49.0,-65.0,-57.01754385964912
discipline_incidents,Glendale-River Hills — All Students,2023-24,27.0,-22.0,-44.89795918367348
discipline_incidents,Glendale-River Hills — All Students,2024-25,137.0,110.0,407.40740740740745
discipline_incidents,Greendale — All Students,2018-19,99.0,,
discipline_incidents,Greendale — All Students,2019-20,62.0,-37.0,-37.37373737373737
discipline_incidents,Greendale — All Students,2020-21,21.0,-41.0,-66.12903225806453
discipline_incidents,Greendale — All Students,2021-22,64.0,43.0,204.76190476190476
discipline_incidents,Greendale — All Students,2022-23,119.0,55.0,85.9375
discipline_incidents,Greendale — All Students,2023-24,94.0,-25.0,-21.00840336134454
discipline_incidents,Greendale — All Students,2024-25,122.0,28.0,29.78723404255319
discipline_incidents,Greenfield — All Students,2018-19,236.0,,
discipline_incidents,Greenfield — All Students,2019-20,172.0,-64.0,-27.118644067796616
discipline_incidents,Greenfield — All Students,2020-21,103.0,-69.0,-40.116279069767444
discipline_incidents,Greenfield — All Students,2021-22,319.0,216.0,209.70873786407768
discipline_incidents,Greenfield — All Students,2022-23,376.0,57.0,17.868338557993724
discipline_incidents,Greenfield — All Students,2023-24,487.0,111.0,29.521276595744684
discipline_incidents,Greenfield — All Students,2024-25,510.0,23.0,4.722792607802884
discipline_incidents,Maple Dale-Indian Hill — All Students,2018-19,10.0,,
discipline_incidents,Maple Dale-Indian Hill — All Students,2019-20,15.0,5.0,50.0
discipline_incidents,Maple Dale-Indian Hill — All Students,2020-21,0.0,-15.0,-100.0
discipline_incidents,Maple Dale-Indian Hill — All Students,2021-22,19.0,19.0,inf
discipline_incidents,Maple Dale-Indian Hill — All Students,2022-23,9.0,-10.0,-52.63157894736843
discipline_incidents,Maple Dale-Indian Hill — All Students,2023-24,11.0,2.0,22.222222222222232
discipline_incidents,Maple Dale-Indian Hill — All Students,2024-25,10.0,-1.0,-9.090909090909093
discipline_incidents,Milwaukee — All Students,2018-19,22961.0,,
discipline_incidents,Milwaukee — All Students,2019-20,16439.0,-6522.0,-28.404686207046737
discipline_incidents,Milwaukee — All Students,2020-21,9.0,-16430.0,-99.94525214429102
discipline_incidents,Milwaukee — All Students,2021-22,23643.0,23634.0,262600.0
discipline_incidents,Milwaukee — All Students,2022-23,23985.0,342.0,1.4465169394746846
discipline_incidents,Milwaukee — All Students,2023-24,23636.0,-349.0,-1.455076089222429
discipline_incidents,Milwaukee — All Students,2024-25,22962.0,-674.0,-2.8515823320358735
discipline_incidents,Milwaukee Academy of Science — All Students,2018-19,357.0,,
discipline_incidents,Milwaukee Academy of Science — All Students,2019-20,413.0,56.0,15.686274509803933
discipline_incidents,Milwaukee Academy of Science — All Students,2020-21,2.0,-411.0,-99.51573849878935
discipline_incidents,Milwaukee Academy of Science — All Students,2021-22,668.0,666.0,33300.0
discipline_incidents,Milwaukee Collegiate Academy — All Students,2018-19,308.0,,
discipline_incidents,Milwaukee Math and Science Academy — All Students,2018-19,202.0,,
discipline_incidents,Milwaukee Math and Science Academy — All Students,2019-20,75.0,-127.0,-62.87128712871287
discipline_incidents,Milwaukee Math and Science Academy — All Students,2020-21,0.0,-75.0,-100.0
discipline_incidents,Milwaukee Math and Science Academy — All Students,2021-22,0.0,0.0,
discipline_incidents,Milwaukee Math and Science Academy Inc — All Students,2024-25,135.0,,
discipline_incidents,Milwaukee Math and Science Academy Inc. — All Students,2023-24,131.0,,
discipline_incidents,"Milwaukee Math and Science Academy, Inc. — All Students",2022-23,166.0,,
discipline_incidents,Milwaukee Scholars Charter School — All Students,2018-19,411.0,,
discipline_incidents,Milwaukee Scholars Charter School — All Students,2019-20,186.0,-225.0,-54.74452554744526
discipline_incidents,Milwaukee Scholars Charter School — All Students,2020-21,0.0,-186.0,-100.0
discipline_incidents,Milwaukee Scholars Charter School — All Students,2021-22,133.0,133.0,inf
discipline_incidents,Milwaukee Scholars Charter School Inc — All Students,2023-24,689.0,,
discipline_incidents,Milwaukee Scholars Charter School Inc — All Students,2024-25,1115.0,426.0,61.82873730043541
discipline_incidents,"Milwaukee Scholars Charter School, Inc. — All Students",2022-23,379.0,,
discipline_incidents,Milwaukee Science Education Consortium Inc — All Students,2023-24,486.0,,
discipline_incidents,Milwaukee Science Education Consortium Inc — All Students,2024-25,760.0,274.0,56.37860082304527
discipline_incidents,"Milwaukee Science Education Consortium, Inc. — All Students",2022-23,320.0,,
discipline_incidents,Nicolet UHS — All Students,2018-19,34.0,,
discipline_incidents,Nicolet UHS — All Students,2019-20,35.0,1.0,2.941176470588225
discipline_incidents,Nicolet UHS — All Students,2020-21,7.0,-28.0,-80.0
discipline_incidents,Nicolet Union High School — All Students,2021-22,70.0,,
discipline_incidents,Nicolet Union High School — All Students,2022-23,35.0,-35.0,-50.0
discipline_incidents,Nicolet Union High School — All Students,2023-24,25.0,-10.0,-28.57142857142857
discipline_incidents,Nicolet Union High School — All Students,2024-25,58.0,33.0,131.99999999999997
discipline_incidents,Oak Creek-Franklin Joint — All Students,2018-19,461.0,,
discipline_incidents,Oak Creek-Franklin Joint — All Students,2019-20,274.0,-187.0,-40.563991323210416
discipline_incidents,Oak Creek-Franklin Joint — All Students,2020-21,144.0,-130.0,-47.44525547445255
discipline_incidents,Oak Creek-Franklin Joint — All Students,2021-22,360.0,216.0,150.0
discipline_incidents,Oak Creek-Franklin Joint — All Students,2022-23,427.0,67.0,18.61111111111111
discipline_incidents,Oak Creek-Franklin Joint — All Students,2023-24,360.0,-67.0,-15.690866510538637
discipline_incidents,Oak Creek-Franklin Joint — All Students,2024-25,327.0,-33.0,-9.166666666666668
discipline_incidents,Pathways High — All Students,2018-19,0.0,,
discipline_incidents,Pathways High — All Students,2019-20,0.0,0.0,
discipline_incidents,Pathways High — All Students,2020-21,0.0,0.0,
discipline_incidents,Pathways High — All Students,2021-22,1.0,1.0,inf
discipline_incidents,Pathways High Inc — All Students,2023-24,0.0,,
discipline_incidents,Pathways High Inc — All Students,2024-25,3.0,3.0,inf
discipline_incidents,"Pathways High, Inc. — All Students",2022-23,0.0,,
discipline_incidents,Penfield Montessori Academy — All Students,2018-19,0.0,,
discipline_incidents,Penfield Montessori Academy — All Students,2019-20,5.0,5.0,inf
discipline_incidents,Penfield Montessori Academy — All Students,2020-21,0.0,-5.0,-100.0
discipline_incidents,Penfield Montessori Academy — All Students,2021-22,0.0,0.0,
discipline_incidents,"Penfield Montessori Academy, Inc. — All Students",2022-23,8.0,,
discipline_incidents,Rocketship Education Wisconsin Inc — All Students,2018-19,10.0,,
discipline_incidents,Rocketship Education Wisconsin Inc — All Students,2019-20,5.0,-5.0,-50.0
discipline_incidents,Rocketship Education Wisconsin Inc — All Students,2020-21,0.0,-5.0,-100.0
discipline_incidents,Rocketship Education Wisconsin Inc — All Students,2021-22,0.0,0.0,
discipline_incidents,Rocketship Education Wisconsin Inc — All Students,2023-24,105.0,105.0,inf
discipline_incidents,Rocketship Education Wisconsin Inc — All Students,2024-25,59.0,-46.0,-43.80952380952381
discipline_incidents,"Rocketship Education Wisconsin, Inc. — All Students",2022-23,18.0,,
discipline_incidents,Saint Francis — All Students,2018-19,152.0,,
discipline_incidents,Saint Francis — All Students,2019-20,103.0,-49.0,-32.23684210526315
discipline_incidents,Saint Francis — All Students,2020-21,36.0,-67.0,-65.04854368932038
discipline_incidents,Saint Francis — All Students,2021-22,119.0,83.0,230.55555555555554
discipline_incidents,Saint Francis — All Students,2022-23,101.0,-18.0,-15.126050420168069
discipline_incidents,Saint Francis — All Students,2023-24,87.0,-14.0,-13.861386138613863
discipline_incidents,Saint Francis — All Students,2024-25,128.0,41.0,47.12643678160919
discipline_incidents,School for Early Development and — All Students,2018-19,13.0,,
discipline_incidents,Seeds of Health Inc — All Students,2018-19,76.0,,
discipline_incidents,Seeds of Health Inc — All Students,2019-20,101.0,25.0,32.89473684210527
discipline_incidents,Seeds of Health Inc — All Students,2020-21,6.0,-95.0,-94.05940594059405
discipline_incidents,Seeds of Health Inc — All Students,2021-22,113.0,107.0,1783.3333333333333
discipline_incidents,Seeds of Health Inc — All Students,2022-23,193.0,80.0,70.79646017699115
discipline_incidents,Seeds of Health Inc — All Students,2023-24,141.0,-52.0,-26.943005181347147
discipline_incidents,Seeds of Health Inc — All Students,2024-25,151.0,10.0,7.092198581560294
discipline_incidents,Shorewood — All Students,2018-19,17.0,,
discipline_incidents,Shorewood — All Students,2019-20,14.0,-3.0,-17.647058823529417
discipline_incidents,Shorewood — All Students,2020-21,0.0,-14.0,-100.0
discipline_incidents,Shorewood — All Students,2021-22,83.0,83.0,inf
discipline_incidents,Shorewood — All Students,2022-23,83.0,0.0,0.0
discipline_incidents,Shorewood — All Students,2023-24,42.0,-41.0,-49.397590361445786
discipline_incidents,Shorewood — All Students,2024-25,50.0,8.0,19.047619047619047
discipline_incidents,South Milwaukee — All Students,2018-19,277.0,,
discipline_incidents,South Milwaukee — All Students,2019-20,243.0,-34.0,-12.274368231046928
discipline_incidents,South Milwaukee — All Students,2020-21,47.0,-196.0,-80.65843621399176
discipline_incidents,South Milwaukee — All Students,2021-22,316.0,269.0,572.3404255319149
discipline_incidents,South Milwaukee — All Students,2022-23,287.0,-29.0,-9.177215189873422
discipline_incidents,South Milwaukee — All Students,2023-24,339.0,52.0,18.11846689895471
discipline_incidents,South Milwaukee — All Students,2024-25,512.0,173.0,51.03244837758112
discipline_incidents,Stellar Collegiate Charter School — All Students,2018-19,7.0,,
discipline_incidents,Stellar Collegiate Charter School — All Students,2019-20,6.0,-1.0,-14.28571428571429
discipline_incidents,Stellar Collegiate Charter School — All Students,2020-21,0.0,-6.0,-100.0
discipline_incidents,Stellar Collegiate Charter School — All Students,2021-22,50.0,50.0,inf
discipline_incidents,Trans Center for Youth Inc — All Students,2023-24,7.0,,
discipline_incidents,Trans Center for Youth Inc — All Students,2024-25,22.0,15.0,214.28571428571428
discipline_incidents,"Trans Center for Youth, Inc. — All Students",2022-23,23.0,,
discipline_incidents,United Community Center Acosta Middle — All Students,2018-19,48.0,,
discipline_incidents,United Community Center Acosta Middle — All Students,2019-20,23.0,-25.0,-52.08333333333333
discipline_incidents,United Community Center Acosta Middle — All Students,2020-21,5.0,-18.0,-78.26086956521739
discipline_incidents,United Community Center Inc — All Students,2023-24,106.0,,
