metric,category,unit,district,school,group,year,value,yoy_change,pct_change,status_flag,enrollment
discipline,expulsion,count,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2022-23,0.0,0.0,,"Authorizer/reporting changed to Carmen High School of Science and Technology, 2022-23; Zero expulsions reported",176.0
discipline,expulsion,count,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2023-24,0.0,0.0,,Zero expulsions reported,206.0
discipline,expulsion,count,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2024-25,0.0,0.0,,Zero expulsions reported,191.0
discipline,all,rate,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2018-19,24.17,,,,120.0
discipline,all,rate,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2019-20,18.64,-5.530000000000001,-22.879602813405054,,118.0
discipline,all,rate,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2020-21,1.68,-16.96,-90.98712446351931,Small count (<10 removals) — rate imprecise,119.0
discipline,all,rate,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2021-22,10.83,9.15,544.6428571428572,,120.0
discipline,all,rate,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2022-23,19.01,8.180000000000001,75.53093259464451,"Authorizer/reporting changed to Trans Center for Youth, 2022-23",121.0
discipline,all,rate,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2023-24,5.83,-13.180000000000001,-69.33193056286166,Small count (<10 removals) — rate imprecise,120.0
discipline,all,rate,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2024-25,18.18,12.35,211.8353344768439,,121.0
discipline,suspension,rate,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2018-19,24.17,,,,120.0
discipline,suspension,rate,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2019-20,18.64,-5.530000000000001,-22.879602813405054,,118.0
discipline,suspension,rate,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2020-21,1.68,-16.96,-90.98712446351931,Small count (<10 removals) — rate imprecise,119.0
discipline,suspension,rate,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2021-22,10.83,9.15,544.6428571428572,,120.0
discipline,suspension,rate,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2022-23,19.01,8.180000000000001,75.53093259464451,"Authorizer/reporting changed to Trans Center for Youth, 2022-23",121.0
discipline,suspension,rate,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2023-24,5.83,-13.180000000000001,-69.33193056286166,Small count (<10 removals) — rate imprecise,120.0
discipline,suspension,rate,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2024-25,18.18,12.35,211.8353344768439,,121.0
discipline,expulsion,count,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2018-19,0.0,,,Zero expulsions reported,120.0
discipline,expulsion,count,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2019-20,0.0,0.0,,Zero expulsions reported,118.0
discipline,expulsion,count,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2020-21,0.0,0.0,,Zero expulsions reported,119.0
discipline,expulsion,count,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2021-22,0.0,0.0,,Zero expulsions reported,120.0
discipline,expulsion,count,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2022-23,0.0,0.0,,"Authorizer/reporting changed to Trans Center for Youth, 2022-23; Zero expulsions reported",121.0
discipline,expulsion,count,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2023-24,0.0,0.0,,Zero expulsions reported,120.0
discipline,expulsion,count,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2024-25,0.0,0.0,,Zero expulsions reported,121.0
discipline,all,rate,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2018-19,31.54,,,,1132.0
discipline,all,rate,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2019-20,33.85,2.3100000000000023,7.324032974001282,,1220.0
discipline,all,rate,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2020-21,0.16,-33.690000000000005,-99.52732644017726,Small count (<10 removals) — rate imprecise,1266.0
discipline,all,rate,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2021-22,49.52,49.36000000000001,30850.0,,1349.0
discipline,all,rate,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2022-23,22.84,-26.680000000000003,-53.87722132471728,"Authorizer/reporting changed to Milwaukee Science Education Consortium, 2022-23",1401.0
discipline,all,rate,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2023-24,34.62,11.779999999999998,51.57618213660244,,1404.0
discipline,all,rate,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2024-25,44.42,9.800000000000004,28.30733679953785,,1711.0
discipline,suspension,rate,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2018-19,31.45,,,,1132.0
discipline,suspension,rate,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2019-20,33.85,2.400000000000002,7.631160572337059,,1220.0
discipline,suspension,rate,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2020-21,0.16,-33.690000000000005,-99.52732644017726,Small count (<10 removals) — rate imprecise,1266.0
discipline,suspension,rate,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2021-22,49.37,49.21,30756.25,,1349.0
discipline,suspension,rate,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2022-23,22.84,-26.529999999999998,-53.73708729997975,"Authorizer/reporting changed to Milwaukee Science Education Consortium, 2022-23",1401.0
discipline,suspension,rate,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2023-24,34.62,11.779999999999998,51.57618213660244,,1404.0
discipline,suspension,rate,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2024-25,44.36,9.740000000000002,28.13402657423456,,1711.0
discipline,expulsion,count,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2018-19,1.0,,,,1132.0
discipline,expulsion,count,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2019-20,0.0,-1.0,-100.0,Zero expulsions reported,1220.0
discipline,expulsion,count,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2020-21,0.0,0.0,,Zero expulsions reported,1266.0
discipline,expulsion,count,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2021-22,2.0,2.0,,,1349.0
discipline,expulsion,count,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2022-23,0.0,-2.0,-100.0,"Authorizer/reporting changed to Milwaukee Science Education Consortium, 2022-23; Zero expulsions reported",1401.0
