metric,subject,dimension,district,school,year,focus_group,focus_rate,reference_group,reference_rate,focus_reference_ratio,highest_group,highest_rate,lowest_group,lowest_rate,high_low_ratio
forward,ela,Disability Status,Greenfield,Greenfield Middle,2024-25,SwoD,55.4,SwD,10.2,5.43,SwoD,55.4,SwD,10.2,5.43
forward,ela,Disability Status,Milwaukee,Barton Elementary,2024-25,SwoD,18.4,SwD,3.4,5.41,SwoD,18.4,SwD,3.4,5.41
forward,ela,Disability Status,Milwaukee,Milwaukee College Preparatory School -- 38th Street,2024-25,SwoD,35.7,SwD,6.7,5.33,SwoD,35.7,SwD,6.7,5.33
forward,ela,Disability Status,Milwaukee,Wedgewood Park School,2024-25,SwoD,31.3,SwD,5.9,5.31,SwoD,31.3,SwD,5.9,5.31
forward,ela,Disability Status,West Allis-West Milwaukee,Wilson Elementary,2024-25,SwoD,45.4,SwD,8.6,5.28,SwoD,45.4,SwD,8.6,5.28
forward,ela,Disability Status,Milwaukee,Ninety-Fifth Street Elementary,2024-25,SwoD,25.8,SwD,5.0,5.16,SwoD,25.8,SwD,5.0,5.16
forward,ela,Disability Status,Milwaukee,ALBA - Academia de Lenguaje y Bellas Artes,2024-25,SwoD,32.8,SwD,6.4,5.12,SwoD,32.8,SwD,6.4,5.12
forward,ela,Disability Status,Milwaukee,Grantosa Drive Elementary,2024-25,SwoD,18.4,SwD,3.7,4.97,SwoD,18.4,SwD,3.7,4.97
forward,ela,Disability Status,Milwaukee,Rogers Street Academy,2024-25,SwoD,23.8,SwD,4.8,4.96,SwoD,23.8,SwD,4.8,4.96
forward,ela,Disability Status,West Allis-West Milwaukee,Frank Lloyd Wright Intermediate,2024-25,SwoD,53.0,SwD,10.9,4.86,SwoD,53.0,SwD,10.9,4.86
forward,ela,Disability Status,Milwaukee,Cooper Elementary,2024-25,SwoD,67.3,SwD,14.0,4.81,SwoD,67.3,SwD,14.0,4.81
forward,ela,Disability Status,Rocketship Education Wisconsin,Rocketship Southside Community Prep,2024-25,SwoD,35.0,SwD,7.3,4.79,SwoD,35.0,SwD,7.3,4.79
forward,ela,Disability Status,Milwaukee,Zablocki Elementary,2024-25,SwoD,35.4,SwD,7.4,4.78,SwoD,35.4,SwD,7.4,4.78
forward,ela,Disability Status,Oak Creek-Franklin Joint,Deerfield Elementary,2024-25,SwoD,73.0,SwD,15.4,4.74,SwoD,73.0,SwD,15.4,4.74
forward,ela,Disability Status,Milwaukee,HAPA-Hmong American Peace Academy K3-12,2024-25,SwoD,53.0,SwD,11.7,4.53,SwoD,53.0,SwD,11.7,4.53
forward,ela,Disability Status,Whitnall,Whitnall Middle,2024-25,SwoD,71.5,SwD,15.9,4.5,SwoD,71.5,SwD,15.9,4.5
forward,ela,Disability Status,Milwaukee,Garland Elementary,2024-25,SwoD,27.6,SwD,6.2,4.45,SwoD,27.6,SwD,6.2,4.45
forward,ela,Disability Status,Milwaukee,Milwaukee College Preparatory School -- Lloyd Street,2024-25,SwoD,32.8,SwD,7.5,4.37,SwoD,32.8,SwD,7.5,4.37
forward,ela,Disability Status,Greenfield,Elm Dale Elementary,2024-25,SwoD,57.8,SwD,14.3,4.04,SwoD,57.8,SwD,14.3,4.04
forward,ela,Disability Status,Greenfield,Maple Grove Elementary,2024-25,SwoD,45.0,SwD,11.4,3.95,SwoD,45.0,SwD,11.4,3.95
forward,ela,Disability Status,Milwaukee,Milwaukee College Preparatory School -- 36th Street Campus,2024-25,SwoD,46.4,SwD,12.1,3.83,SwoD,46.4,SwD,12.1,3.83
forward,ela,Disability Status,South Milwaukee,Lakeview Elementary,2024-25,SwoD,54.6,SwD,14.3,3.82,SwoD,54.6,SwD,14.3,3.82
forward,ela,Disability Status,Oak Creek-Franklin Joint,Carollton Elementary,2024-25,SwoD,80.6,SwD,22.2,3.63,SwoD,80.6,SwD,22.2,3.63
forward,ela,Disability Status,Greendale,Highland View Elementary,2024-25,SwoD,83.2,SwD,23.8,3.5,SwoD,83.2,SwD,23.8,3.5
forward,ela,Disability Status,Seeds of Health,Seeds of Health Elementary Program,2024-25,SwoD,34.4,SwD,10.0,3.44,SwoD,34.4,SwD,10.0,3.44
forward,ela,Disability Status,Greendale,Greendale Middle,2024-25,SwoD,76.5,SwD,22.8,3.36,SwoD,76.5,SwD,22.8,3.36
forward,ela,Disability Status,Milwaukee,Neeskara Elementary,2024-25,SwoD,13.6,SwD,4.1,3.32,SwoD,13.6,SwD,4.1,3.32
forward,ela,Disability Status,South Milwaukee,South Milwaukee Middle,2024-25,SwoD,41.2,SwD,12.5,3.3,SwoD,41.2,SwD,12.5,3.3
forward,ela,Disability Status,Oak Creek-Franklin Joint,Shepard Hills Elementary,2024-25,SwoD,62.4,SwD,19.0,3.28,SwoD,62.4,SwD,19.0,3.28
forward,ela,Disability Status,West Allis-West Milwaukee,Horace Mann Elementary,2024-25,SwoD,31.7,SwD,10.3,3.08,SwoD,31.7,SwD,10.3,3.08
forward,ela,Disability Status,Milwaukee,Kluge Elementary,2024-25,SwoD,18.3,SwD,6.1,3.0,SwoD,18.3,SwD,6.1,3.0
forward,ela,Disability Status,Milwaukee,Hampton Elementary,2024-25,SwoD,29.8,SwD,10.0,2.98,SwoD,29.8,SwD,10.0,2.98
forward,ela,Disability Status,Milwaukee,Carson Academy,2024-25,SwoD,14.1,SwD,4.8,2.94,SwoD,14.1,SwD,4.8,2.94
forward,ela,Disability Status,Milwaukee,Hawthorne Elementary,2024-25,SwoD,11.7,SwD,4.0,2.92,SwoD,11.7,SwD,4.0,2.92
forward,ela,Disability Status,Milwaukee,Clemens Elementary,2024-25,SwoD,9.3,SwD,3.2,2.91,SwoD,9.3,SwD,3.2,2.91
forward,ela,Disability Status,Franklin Public,Forest Park Middle,2024-25,SwoD,77.3,SwD,27.1,2.85,SwoD,77.3,SwD,27.1,2.85
forward,ela,Disability Status,Brown Deer,Brown Deer Elementary,2024-25,SwoD,52.2,SwD,18.6,2.81,SwoD,52.2,SwD,18.6,2.81
forward,ela,Disability Status,Carmen High School of Science and Technology,Carmen Middle School South,2024-25,SwoD,44.3,SwD,15.8,2.8,SwoD,44.3,SwD,15.8,2.8
forward,ela,Disability Status,Oak Creek-Franklin Joint,Oak Creek West Middle,2024-25,SwoD,71.6,SwD,25.9,2.76,SwoD,71.6,SwD,25.9,2.76
forward,ela,Disability Status,Milwaukee,Forest Home Elementary,2024-25,SwoD,21.2,SwD,7.8,2.72,SwoD,21.2,SwD,7.8,2.72
forward,ela,Disability Status,Shorewood,Atwater Elementary,2024-25,SwoD,76.7,SwD,28.6,2.68,SwoD,76.7,SwD,28.6,2.68
forward,ela,Disability Status,Cudahy,Mitchell Elementary,2024-25,SwoD,62.4,SwD,23.5,2.66,SwoD,62.4,SwD,23.5,2.66
forward,ela,Disability Status,Wauwatosa,Whitman Middle,2024-25,SwoD,55.1,SwD,21.1,2.61,SwoD,55.1,SwD,21.1,2.61
forward,ela,Disability Status,Milwaukee,Allen-Field Elementary,2024-25,SwoD,13.0,SwD,5.0,2.6,SwoD,13.0,SwD,5.0,2.6
forward,ela,Disability Status,Whitnall,Hales Corners Elementary,2024-25,SwoD,74.0,SwD,29.0,2.55,SwoD,74.0,SwD,29.0,2.55
forward,ela,Disability Status,Franklin Public,Robinwood Elementary,2024-25,SwoD,72.4,SwD,28.6,2.53,SwoD,72.4,SwD,28.6,2.53
forward,ela,Disability Status,West Allis-West Milwaukee,Walker Elementary,2024-25,SwoD,52.7,SwD,21.2,2.49,SwoD,52.7,SwD,21.2,2.49
forward,ela,Disability Status,South Milwaukee,Rawson Elementary,2024-25,SwoD,32.0,SwD,13.0,2.46,SwoD,32.0,SwD,13.0,2.46
forward,ela,Disability Status,Glendale-River Hills,Glen Hills Middle,2024-25,SwoD,54.2,SwD,22.2,2.44,SwoD,54.2,SwD,22.2,2.44
forward,ela,Disability Status,Fox Point J2,Bayside Middle,2024-25,SwoD,95.8,SwD,40.9,2.34,SwoD,95.8,SwD,40.9,2.34
