metric,dimension,group,subject,unit,district,school,year,value,pct_below,tested,status_flag
forward,Gender,Male,math,pct,Milwaukee,Hampton Elementary,2018-19,100.0,0.0,5,
forward,Gender,Female,math,pct,Milwaukee,Hartford Avenue Elementary,2018-19,100.0,0.0,1,
forward,Gender,Male,math,pct,Milwaukee,Hartford Avenue Elementary,2018-19,100.0,0.0,1,
forward,Gender,Female,math,pct,Milwaukee,Hawley Environmental School,2018-19,100.0,0.0,3,
forward,Disability Status,SwoD,ela,pct,West Allis-West Milwaukee,Lane Intermediate,2018-19,100.0,0.0,44,
forward,Disability Status,SwD,ela,pct,West Allis-West Milwaukee,Lane Intermediate,2018-19,100.0,0.0,1,
forward,Gender,Male,math,pct,Milwaukee,Hayes Bilingual School,2018-19,100.0,0.0,1,
forward,Gender,Female,math,pct,Milwaukee,Highland Community School,2018-19,100.0,0.0,4,
forward,Gender,Male,math,pct,Milwaukee,Highland Community School,2018-19,100.0,0.0,3,
forward,Gender,Female,math,pct,Milwaukee,Honey Creek Elementary,2018-19,100.0,0.0,2,
forward,Gender,Female,math,pct,Milwaukee,HAPA-Hmong American Peace Academy K3-12,2018-19,100.0,0.0,5,
forward,Gender,Male,math,pct,Milwaukee,Honey Creek Elementary,2018-19,100.0,0.0,8,
forward,Gender,Female,math,pct,Milwaukee,Humboldt Park Elementary,2018-19,100.0,0.0,6,
forward,Gender,Male,math,pct,Milwaukee,Humboldt Park Elementary,2018-19,100.0,0.0,8,
forward,Gender,Female,math,pct,Milwaukee,IDEAL Individualized Developmental Educational Approaches to Learning,2018-19,100.0,0.0,2,
forward,Gender,Male,math,pct,Milwaukee,IDEAL Individualized Developmental Educational Approaches to Learning,2018-19,100.0,0.0,4,
forward,Disability Status,SwoD,ela,pct,West Allis-West Milwaukee,Irving Elementary,2018-19,100.0,0.0,11,
forward,Gender,Female,math,pct,Milwaukee,Kagel Elementary,2018-19,100.0,0.0,2,
forward,Gender,Male,math,pct,Milwaukee,Kagel Elementary,2018-19,100.0,0.0,2,
forward,Gender,Male,math,pct,Milwaukee,La Causa Charter School,2018-19,100.0,0.0,3,
forward,Gender,Female,math,pct,Milwaukee,Lincoln Avenue Elementary,2018-19,100.0,0.0,1,
forward,Disability Status,SwoD,ela,pct,West Allis-West Milwaukee,Horace Mann Elementary,2018-19,100.0,0.0,7,
forward,Gender,Male,math,pct,Milwaukee,Lincoln Avenue Elementary,2018-19,100.0,0.0,1,
forward,Gender,Male,math,pct,Milwaukee,Longfellow Elementary,2018-19,100.0,0.0,3,
forward,Disability Status,SwoD,ela,pct,West Allis-West Milwaukee,Jefferson Elementary,2018-19,100.0,0.0,12,
forward,Gender,Male,math,pct,Milwaukee,Greenfield Bilingual,2018-19,100.0,0.0,1,
forward,Disability Status,SwoD,ela,pct,West Allis-West Milwaukee,Mitchell Elementary,2018-19,100.0,0.0,10,
forward,Gender,Male,math,pct,Milwaukee,Grant Elementary,2018-19,100.0,0.0,4,
forward,Disability Status,SwoD,ela,pct,Whitefish Bay,Cumberland Elementary,2018-19,100.0,0.0,49,
forward,Disability Status,SwD,ela,pct,Whitefish Bay,Cumberland Elementary,2018-19,100.0,0.0,2,
forward,Gender,Female,math,pct,Milwaukee,Carmen Middle/High School of Science and Technology Northwest Campus,2018-19,100.0,0.0,1,
forward,Gender,Male,math,pct,Milwaukee,Carver Academy,2018-19,100.0,0.0,2,
forward,Gender,Male,math,pct,Milwaukee,Cass Street Elementary,2018-19,100.0,0.0,1,
forward,Gender,Female,math,pct,Milwaukee,Clemens Elementary,2018-19,100.0,0.0,1,
forward,Gender,Female,math,pct,Milwaukee,Clement Avenue Elementary,2018-19,100.0,0.0,1,
forward,Gender,Male,math,pct,Milwaukee,Clement Avenue Elementary,2018-19,100.0,0.0,5,
forward,Disability Status,SwoD,ela,pct,West Allis-West Milwaukee,Wilson Elementary,2018-19,100.0,0.0,9,
forward,Gender,Male,math,pct,Milwaukee,Congress Elementary,2018-19,100.0,0.0,1,
forward,Gender,Female,math,pct,Milwaukee,Cooper Elementary,2018-19,100.0,0.0,5,
forward,Gender,Male,math,pct,Milwaukee,Cooper Elementary,2018-19,100.0,0.0,11,
forward,Gender,Female,math,pct,Milwaukee,Curtin Elementary,2018-19,100.0,0.0,1,
forward,Gender,Female,math,pct,Milwaukee,Engleburg Elementary,2018-19,100.0,0.0,1,
forward,Disability Status,SwoD,ela,pct,West Allis-West Milwaukee,West Milwaukee Intermediate,2018-19,100.0,0.0,9,
forward,Gender,Female,math,pct,Milwaukee,Fairview Elementary,2018-19,100.0,0.0,5,
forward,Gender,Male,math,pct,Milwaukee,Fairview Elementary,2018-19,100.0,0.0,3,
forward,Gender,Female,math,pct,Milwaukee,Fernwood Montessori,2018-19,100.0,0.0,5,
forward,Gender,Male,math,pct,Milwaukee,Fernwood Montessori,2018-19,100.0,0.0,21,
forward,Disability Status,SwoD,ela,pct,West Allis-West Milwaukee,Walker Elementary,2018-19,100.0,0.0,3,
forward,Gender,Male,math,pct,Milwaukee,Forest Home Elementary,2018-19,100.0,0.0,2,
forward,Gender,Female,math,pct,Milwaukee,Garland Elementary,2018-19,100.0,0.0,13,
forward,Disability Status,SwoD,ela,pct,West Allis-West Milwaukee,Pershing Elementary,2018-19,100.0,0.0,2,
forward,Gender,Male,math,pct,Milwaukee,Garland Elementary,2018-19,100.0,0.0,10,
forward,Gender,Female,math,pct,Milwaukee,Golda Meir School,2018-19,100.0,0.0,30,
forward,Gender,Male,math,pct,Milwaukee,Golda Meir School,2018-19,100.0,0.0,49,
forward,Gender,Female,math,pct,Milwaukee,Grant Elementary,2018-19,100.0,0.0,3,
forward,Gender,Male,math,pct,Franklin Public,Country Dale Elementary,2018-19,100.0,0.0,37,
forward,Gender,Female,math,pct,Milwaukee,Lowell International Elementary,2018-19,100.0,0.0,1,
forward,Gender,Female,math,pct,Franklin Public,Country Dale Elementary,2018-19,100.0,0.0,21,
forward,Gender,Female,math,pct,Franklin Public,Ben Franklin Elementary,2018-19,100.0,0.0,19,
forward,Gender,Female,ela,pct,West Allis-West Milwaukee,Franklin Elementary,2018-19,100.0,0.0,3,
forward,Gender,Male,ela,pct,West Allis-West Milwaukee,Franklin Elementary,2018-19,100.0,0.0,5,
forward,Gender,Female,ela,pct,West Allis-West Milwaukee,Hoover Elementary,2018-19,100.0,0.0,12,
forward,Gender,Male,ela,pct,West Allis-West Milwaukee,Hoover Elementary,2018-19,100.0,0.0,9,
forward,Gender,Female,ela,pct,West Allis-West Milwaukee,Horace Mann Elementary,2018-19,100.0,0.0,4,
forward,Gender,Male,ela,pct,West Allis-West Milwaukee,Horace Mann Elementary,2018-19,100.0,0.0,3,
forward,Disability Status,SwoD,math,pct,Glendale-River Hills,Glen Hills Middle,2018-19,100.0,0.0,41,
forward,Disability Status,SwD,math,pct,Glendale-River Hills,Glen Hills Middle,2018-19,100.0,0.0,1,
forward,Gender,Female,ela,pct,West Allis-West Milwaukee,Irving Elementary,2018-19,100.0,0.0,7,
forward,Gender,Male,ela,pct,West Allis-West Milwaukee,Irving Elementary,2018-19,100.0,0.0,4,
forward,Gender,Female,ela,pct,West Allis-West Milwaukee,Jefferson Elementary,2018-19,100.0,0.0,10,
forward,Gender,Male,ela,pct,West Allis-West Milwaukee,Jefferson Elementary,2018-19,100.0,0.0,2,
forward,Disability Status,SwD,math,pct,Glendale-River Hills,Parkway Elementary,2018-19,100.0,0.0,2,
forward,Gender,Female,ela,pct,West Allis-West Milwaukee,Lane Intermediate,2018-19,100.0,0.0,32,
forward,Gender,Female,ela,pct,West Allis-West Milwaukee,Longfellow Elementary,2018-19,100.0,0.0,3,
forward,Gender,Male,ela,pct,West Allis-West Milwaukee,Longfellow Elementary,2018-19,100.0,0.0,1,
forward,Gender,Male,ela,pct,West Allis-West Milwaukee,Madison Elementary,2018-19,100.0,0.0,3,
forward,Disability Status,SwoD,math,pct,Franklin Public,Robinwood Elementary,2018-19,100.0,0.0,18,
forward,Gender,Female,ela,pct,West Allis-West Milwaukee,Mitchell Elementary,2018-19,100.0,0.0,9,
forward,Gender,Male,ela,pct,West Allis-West Milwaukee,Mitchell Elementary,2018-19,100.0,0.0,5,
forward,Gender,Female,ela,pct,West Allis-West Milwaukee,Pershing Elementary,2018-19,100.0,0.0,2,
forward,Gender,Male,ela,pct,West Allis-West Milwaukee,Pershing Elementary,2018-19,100.0,0.0,1,
forward,Gender,Female,ela,pct,West Allis-West Milwaukee,Walker Elementary,2018-19,100.0,0.0,12,
forward,Gender,Male,ela,pct,West Allis-West Milwaukee,Walker Elementary,2018-19,100.0,0.0,9,
forward,Disability Status,SwoD,math,pct,Franklin Public,Pleasant View Elementary,2018-19,100.0,0.0,23,
forward,Gender,Female,ela,pct,West Allis-West Milwaukee,West Milwaukee Intermediate,2018-19,100.0,0.0,4,
forward,Gender,Male,ela,pct,West Allis-West Milwaukee,Lane Intermediate,2018-19,100.0,0.0,13,
forward,Gender,Male,ela,pct,West Allis-West Milwaukee,West Milwaukee Intermediate,2018-19,100.0,0.0,5,
forward,Disability Status,SwoD,math,pct,Glendale-River Hills,Parkway Elementary,2018-19,100.0,0.0,6,
forward,Gender,Female,ela,pct,West Allis-West Milwaukee,Frank Lloyd Wright Intermediate,2018-19,100.0,0.0,41,
forward,Gender,Female,ela,pct,Wauwatosa,Madison Elementary,2018-19,100.0,0.0,8,
forward,Gender,Male,ela,pct,Wauwatosa,Madison Elementary,2018-19,100.0,0.0,4,
forward,Gender,Female,ela,pct,Wauwatosa,McKinley Elementary,2018-19,100.0,0.0,25,
forward,Gender,Male,ela,pct,Wauwatosa,McKinley Elementary,2018-19,100.0,0.0,15,
forward,Disability Status,SwoD,math,pct,Greendale,Highland View Elementary,2018-19,100.0,0.0,24,
forward,Disability Status,SwD,math,pct,Greendale,Highland View Elementary,2018-19,100.0,0.0,3,
forward,Gender,Female,ela,pct,Wauwatosa,Roosevelt Elementary,2018-19,100.0,0.0,22,
forward,Gender,Male,ela,pct,Wauwatosa,Roosevelt Elementary,2018-19,100.0,0.0,13,
