metric,group,year,value,pct_change
discipline,Whitefish Bay — All Students,2021-22,59.0,321.4
discipline,Whitefish Bay — All Students,2023-24,82.0,30.2
discipline,Whitefish Bay — All Students,2024-25,13.0,-84.1
discipline,Whitnall — All Students,2019-20,118.0,-37.9
discipline,Whitnall — All Students,2020-21,56.0,-52.5
discipline,Whitnall — All Students,2021-22,191.0,241.1
discipline,Whitnall — All Students,2023-24,114.0,-46.7
discipline,Whitnall — All Students,2024-25,147.0,28.9
discipline,Woodlands School — All Students,2019-20,12.0,1100.0
discipline,Woodlands School — All Students,2020-21,0.0,-100.0
discipline,Woodlands School — All Students,2021-22,10.0,inf
discipline,Woodlands School - State Street Campus — All Students,2019-20,2.0,-94.6
discipline,Woodlands School Inc — All Students,2024-25,63.0,43.2
