metric,group,year,value,pct_change
discipline_incidents,Shorewood — All Students,2021-22,83.0,inf
discipline_incidents,Shorewood — All Students,2023-24,42.0,-49.4
discipline_incidents,Shorewood — All Students,2024-25,50.0,19.0
discipline_incidents,South Milwaukee — All Students,2020-21,47.0,-80.7
discipline_incidents,South Milwaukee — All Students,2021-22,316.0,572.3
discipline_incidents,South Milwaukee — All Students,2023-24,339.0,18.1
discipline_incidents,South Milwaukee — All Students,2024-25,512.0,51.0
discipline_incidents,Stellar Collegiate Charter School — All Students,2021-22,50.0,inf
discipline_incidents,Trans Center for Youth Inc — All Students,2024-25,22.0,214.3
discipline_incidents,United Community Center Acosta Middle — All Students,2019-20,23.0,-52.1
discipline_incidents,United Community Center Acosta Middle — All Students,2020-21,5.0,-78.3
discipline_incidents,United Community Center Inc — All Students,2024-25,57.0,-46.2
discipline_incidents,Wauwatosa — All Students,2019-20,403.0,29.6
discipline_incidents,Wauwatosa — All Students,2020-21,134.0,-66.7
discipline_incidents,Wauwatosa — All Students,2021-22,619.0,361.9
discipline_incidents,West Allis-West Milwaukee — All Students,2019-20,440.0,-24.9
discipline_incidents,West Allis-West Milwaukee — All Students,2020-21,38.0,-91.4
discipline_incidents,West Allis-West Milwaukee — All Students,2021-22,587.0,1444.7
discipline_incidents,West Allis-West Milwaukee — All Students,2023-24,685.0,18.1
discipline_incidents,West Allis-West Milwaukee — All Students,2024-25,899.0,31.2
discipline_incidents,Whitefish Bay — All Students,2019-20,42.0,-20.8
discipline_incidents,Whitefish Bay — All Students,2020-21,14.0,-66.7
discipline_incidents,Whitefish Bay — All Students,2021-22,59.0,321.4
discipline_incidents,Whitefish Bay — All Students,2023-24,82.0,32.3
discipline_incidents,Whitefish Bay — All Students,2024-25,13.0,-84.1
discipline_incidents,Whitnall — All Students,2019-20,118.0,-37.9
discipline_incidents,Whitnall — All Students,2020-21,56.0,-52.5
discipline_incidents,Whitnall — All Students,2021-22,191.0,241.1
discipline_incidents,Whitnall — All Students,2023-24,114.0,-46.7
discipline_incidents,Whitnall — All Students,2024-25,147.0,28.9
discipline_incidents,Woodlands School — All Students,2019-20,12.0,1100.0
discipline_incidents,Woodlands School — All Students,2020-21,0.0,-100.0
discipline_incidents,Woodlands School — All Students,2021-22,10.0,inf
discipline_incidents,Woodlands School - State Street Campus — All Students,2019-20,2.0,-94.6
discipline_incidents,Woodlands School Inc — All Students,2024-25,63.0,43.2
