metric,dimension,group,unit,district,school,year,cohort_class,value,ext_rate,ext_timeframe,diploma,cohort_count,gap_reason,status_flag
hs_completion,Gender,Male,pct,Milwaukee,WHS Information Technology,2017-18,2018,52.8302,60.5769,7-Year rate,56.0,106.0,,
hs_completion,Gender,Female,pct,Milwaukee,WHS Information Technology,2017-18,2018,63.2911,73.0769,7-Year rate,50.0,79.0,,
hs_completion,Gender,Male,pct,Milwaukee,Vincent Accelerated Academy,2017-18,2018,24.0,66.6667,7-Year rate,6.0,25.0,,
hs_completion,Gender,Female,pct,Milwaukee,Vincent Accelerated Academy,2017-18,2018,30.4348,47.3684,7-Year rate,7.0,23.0,,
hs_completion,Gender,Male,pct,Milwaukee,Transition High,2017-18,2018,39.7059,60.7143,7-Year rate,27.0,68.0,,
hs_completion,Gender,Female,pct,Milwaukee,Transition High,2017-18,2018,48.1481,63.2653,7-Year rate,39.0,81.0,,
hs_completion,Gender,Male,pct,Milwaukee,South Division High,2017-18,2018,46.7836,54.7619,7-Year rate,80.0,171.0,,
hs_completion,Gender,Female,pct,Milwaukee,South Division High,2017-18,2018,56.2044,63.0435,7-Year rate,77.0,137.0,,
hs_completion,Gender,Female,pct,Milwaukee,Obama School of Career and Technical Education,2017-18,2018,40.625,55.0,7-Year rate,26.0,64.0,,
hs_completion,Gender,Male,pct,Milwaukee,South Accelerated Academy,2017-18,2018,40.0,60.0,7-Year rate,8.0,20.0,,
hs_completion,Gender,Male,pct,Milwaukee,Shalom High,2017-18,2018,30.4348,36.3636,7-Year rate,7.0,23.0,,
hs_completion,Gender,Female,pct,Milwaukee,Shalom High,2017-18,2018,45.6522,60.0,7-Year rate,21.0,46.0,,
hs_completion,Gender,Male,pct,Milwaukee,Riverside High,2017-18,2018,88.6525,92.029,7-Year rate,125.0,141.0,,
hs_completion,Gender,Female,pct,Milwaukee,Riverside High,2017-18,2018,89.7849,93.8547,7-Year rate,167.0,186.0,,
hs_completion,Gender,Male,pct,Milwaukee,Reagan College Preparatory High,2017-18,2018,92.9577,97.1631,7-Year rate,132.0,142.0,,
hs_completion,Gender,Female,pct,Milwaukee,Reagan College Preparatory High,2017-18,2018,98.773,99.3827,7-Year rate,161.0,163.0,,
hs_completion,Gender,Male,pct,Milwaukee,Pulaski High,2017-18,2018,42.3077,56.4626,7-Year rate,66.0,156.0,,
hs_completion,Gender,Female,pct,Milwaukee,Pulaski High,2017-18,2018,62.0,67.3267,7-Year rate,62.0,100.0,,
hs_completion,Gender,Male,pct,Milwaukee,Project STAY-Supporting Teachers and Youth,2017-18,2018,10.7143,36.3636,7-Year rate,6.0,56.0,,
hs_completion,Gender,Female,pct,Milwaukee,Project STAY-Supporting Teachers and Youth,2017-18,2018,32.2581,55.7143,7-Year rate,20.0,62.0,,
hs_completion,Gender,Female,pct,Milwaukee,South Accelerated Academy,2017-18,2018,41.6667,53.8462,7-Year rate,5.0,12.0,,
hs_completion,Economic Status,Econ Disadv,pct,Brown Deer,Brown Deer Middle/High,2017-18,2018,90.0,94.0,7-Year rate,45.0,50.0,,
hs_completion,Gender,Female,pct,Milwaukee,James Madison Academic Campus,2017-18,2018,76.8,82.1705,7-Year rate,96.0,125.0,,
